time_s,fps,kbps,server_ms,decode_ms,lat_mean_ms,lat_p50_ms,lat_p95_ms,lat_max_ms,lost,ctrl_events,phase
1.010,178.7,27354,3.670,5.716,100.7,104.0,183.0,183.0,0,0,idle
2.008,137.3,18629,4.536,5.576,15.0,15.0,17.0,17.0,0,0,idle
3.009,144.9,19211,4.322,5.610,15.6,15.0,18.0,20.0,0,5,orbit
4.014,142.2,20374,4.397,5.626,18.5,18.0,25.0,33.0,0,63,orbit
5.019,144.3,22214,4.327,5.582,17.9,18.0,23.0,26.0,0,62,orbit
6.023,141.7,18471,4.482,5.659,17.8,17.0,24.0,30.0,0,373,orbit
7.024,140.7,17918,4.433,5.592,17.0,17.0,22.0,23.0,0,442,orbit
8.029,144.3,17500,4.345,5.637,17.3,17.0,22.0,23.0,0,192,orbit
9.030,142.9,21073,4.387,5.632,17.5,17.0,23.0,27.0,0,64,zoom_in
10.034,138.4,24628,4.394,5.701,19.0,19.0,24.0,27.0,0,63,zoom_in
