time_s,fps,kbps,server_ms,server_ms_std,compute_ms,render_ms,decode_ms,decode_ms_std,lat_mean_ms,lat_std_ms,lat_p50_ms,lat_p95_ms,lat_max_ms,lost,ctrl_events,phase
2.246,1.2,779,39.359,7.025,1.981,799.872,9.845,5.151,1737.0,0.0,1737.0,1737.0,1737.0,0,0,far
3.382,1.2,81,25.493,3.635,2.073,799.560,4.035,0.384,1453.0,285.0,1738.0,1738.0,1738.0,0,0,far
5.081,1.2,141,23.632,2.385,2.069,799.503,4.837,1.379,1156.5,7.5,1164.0,1164.0,1164.0,0,0,far
6.797,1.2,155,30.741,0.897,2.066,799.702,4.509,0.534,1193.0,2.0,1195.0,1195.0,1195.0,0,0,far
8.471,1.2,160,30.399,0.661,2.057,799.547,3.547,0.312,1172.0,9.0,1181.0,1181.0,1181.0,0,0,far
10.187,1.2,154,30.763,0.594,2.085,799.583,3.649,0.004,1198.5,9.5,1208.0,1208.0,1208.0,0,0,far
11.880,1.2,158,30.721,0.920,2.087,799.574,3.812,0.215,1341.0,143.0,1484.0,1484.0,1484.0,0,0,far
13.787,1.2,153,31.138,0.389,2.079,799.573,3.836,0.157,1440.0,41.0,1481.0,1481.0,1481.0,0,0,far
15.572,1.2,204,27.987,2.470,2.088,800.301,3.932,0.404,1474.5,119.5,1594.0,1594.0,1594.0,0,110,orbit
17.094,1.2,187,27.713,3.786,2.088,798.691,3.852,0.076,1320.5,8.5,1329.0,1329.0,1329.0,0,94,orbit
18.724,1.2,140,27.356,3.109,2.074,789.497,3.595,0.274,1260.0,26.0,1286.0,1286.0,1286.0,0,101,orbit
20.389,1.2,115,27.271,2.752,2.090,791.041,3.782,0.095,1245.0,5.0,1250.0,1250.0,1250.0,0,103,orbit
21.903,1.3,73,31.002,0.456,2.069,749.178,2.946,0.517,1158.0,14.0,1172.0,1172.0,1172.0,0,94,orbit
23.449,1.3,75,30.841,0.965,2.079,721.422,3.251,0.055,1127.5,0.5,1128.0,1128.0,1128.0,0,96,orbit
24.969,1.3,57,27.260,3.995,2.074,710.046,3.043,0.189,1085.5,17.5,1103.0,1103.0,1103.0,0,94,orbit
26.587,1.3,119,30.313,0.639,2.083,715.423,4.848,0.691,1162.5,47.5,1210.0,1210.0,1210.0,0,101,zoom_in
28.332,1.1,147,37.153,4.752,2.123,820.884,5.546,0.597,1324.5,18.5,1343.0,1343.0,1343.0,0,108,zoom_in
29.381,1.0,147,30.067,0.000,2.108,959.645,3.794,0.000,1490.0,0.0,1490.0,1490.0,1490.0,0,65,zoom_in
30.713,0.8,105,30.603,0.000,2.055,1117.916,3.854,0.000,1788.0,0.0,1788.0,1788.0,1788.0,0,82,zoom_in
32.090,0.7,81,30.433,0.000,2.077,1309.733,2.838,0.000,1989.0,0.0,1989.0,1989.0,1989.0,0,86,zoom_in
34.197,0.6,122,23.797,0.000,2.050,1523.460,4.712,0.000,2724.0,0.0,2724.0,2724.0,2724.0,0,130,zoom_in
35.491,0.6,108,30.825,0.000,2.049,1667.493,3.756,0.000,2452.0,0.0,2452.0,2452.0,2452.0,0,80,zoom_in
37.057,0.6,135,31.178,0.000,2.054,1525.727,5.452,0.000,2288.0,0.0,2288.0,2288.0,2288.0,0,97,look_around
38.600,0.6,141,31.298,0.000,2.102,1529.137,4.156,0.000,2249.0,0.0,2249.0,2249.0,2249.0,0,96,look_around
39.580,0.9,149,29.554,0.000,2.123,1052.982,3.852,0.000,1588.0,0.0,1588.0,1588.0,1588.0,0,60,look_around
41.562,1.0,215,29.937,0.540,2.090,936.182,4.431,0.403,1593.5,78.5,1672.0,1672.0,1672.0,0,123,look_around
43.313,0.6,120,23.923,0.000,2.102,1545.233,4.432,0.000,2282.0,0.0,2282.0,2282.0,2282.0,0,108,look_around
44.501,1.5,438,24.379,0.116,2.100,602.630,4.211,0.002,1249.5,298.5,1548.0,1548.0,1548.0,0,73,look_around
45.930,1.3,304,23.221,1.186,2.074,720.051,4.488,0.327,1291.0,135.0,1426.0,1426.0,1426.0,0,89,look_around
47.816,0.7,138,16.544,0.000,2.108,1454.575,3.953,0.000,2355.0,0.0,2355.0,2355.0,2355.0,0,117,look_around
49.465,0.5,84,24.263,0.000,2.057,2002.294,3.698,0.000,2508.0,0.0,2508.0,2508.0,2508.0,0,53,inside
51.138,0.6,94,21.941,0.000,2.036,1623.606,3.748,0.000,2127.0,0.0,2127.0,2127.0,2127.0,0,0,inside
52.752,0.6,66,22.976,0.000,2.085,1623.186,5.475,0.000,2097.0,0.0,2097.0,2097.0,2097.0,0,0,inside
54.437,0.6,64,23.862,0.000,2.056,1623.206,3.414,0.000,2049.0,0.0,2049.0,2049.0,2049.0,0,0,inside
56.103,0.6,63,22.076,0.000,2.047,1623.148,3.783,0.000,2106.0,0.0,2106.0,2106.0,2106.0,0,0,inside
57.783,0.6,64,29.812,0.000,2.071,1623.186,3.604,0.000,2096.0,0.0,2096.0,2096.0,2096.0,0,0,inside
59.460,0.6,64,22.585,0.000,2.078,1623.158,3.667,0.000,2055.0,0.0,2055.0,2055.0,2055.0,0,0,inside
