time_s,fps,kbps,server_ms,server_ms_std,compute_ms,render_ms,decode_ms,decode_ms_std,lat_mean_ms,lat_std_ms,lat_p50_ms,lat_p95_ms,lat_max_ms,lost,ctrl_events,phase
4.885,0.3,298,42.745,0.000,0.795,3900.060,15.553,0.000,0.0,0.0,0.0,0.0,0.0,0,0,idle
7.639,0.3,32,26.378,0.000,1.004,3899.233,7.175,0.000,4267.0,0.0,4267.0,4267.0,4267.0,0,0,far
11.583,0.3,5,22.000,0.000,1.011,3899.209,3.910,0.000,4261.0,0.0,4261.0,4261.0,4261.0,0,0,far
15.531,0.3,30,22.207,0.000,1.007,3899.277,3.844,0.000,4252.0,0.0,4252.0,4252.0,4252.0,0,0,far
19.490,0.3,30,22.256,0.000,1.006,3899.164,3.873,0.000,4228.0,0.0,4228.0,4228.0,4228.0,0,187,orbit
23.460,0.3,70,22.747,0.000,1.011,3896.043,4.581,0.000,4261.0,0.0,4261.0,4261.0,4261.0,0,246,orbit
27.137,0.3,13,22.417,0.000,1.013,3666.726,2.875,0.000,3954.0,0.0,3954.0,3954.0,3954.0,0,227,orbit
30.687,0.3,10,22.090,0.000,0.997,3495.377,3.053,0.000,3814.0,0.0,3814.0,3814.0,3814.0,0,219,zoom_in
35.280,0.2,12,22.554,0.000,1.006,4550.612,2.888,0.000,4878.0,0.0,4878.0,4878.0,4878.0,0,285,zoom_in
42.804,0.1,28,24.037,0.000,1.010,7442.704,4.737,0.000,7782.0,0.0,7782.0,7782.0,7782.0,0,468,look_around
49.087,0.2,35,23.488,0.000,0.981,6232.908,7.681,0.000,8935.0,0.0,8935.0,8935.0,8935.0,0,390,look_around
57.992,0.1,21,23.667,0.000,1.012,8857.208,4.096,0.000,9191.0,0.0,9191.0,9191.0,9191.0,0,138,inside
