time_s,fps,kbps,server_ms,server_ms_std,compute_ms,render_ms,decode_ms,decode_ms_std,lat_mean_ms,lat_std_ms,lat_p50_ms,lat_p95_ms,lat_max_ms,lost,ctrl_events,phase
1.129,7.4,4236,2.608,1.135,1.965,129.947,16.237,14.728,338.4,108.8,289.0,515.0,515.0,0,0,far
2.212,7.4,1173,2.166,0.009,1.957,129.901,7.898,1.085,272.2,36.0,282.0,336.0,336.0,0,0,far
3.290,7.4,896,2.161,0.017,1.956,129.952,7.600,1.664,242.4,34.0,238.0,294.0,294.0,0,0,far
4.381,7.4,874,2.155,0.008,1.957,129.886,6.742,0.917,237.6,29.2,244.0,284.0,284.0,0,0,far
5.444,7.4,871,2.155,0.004,1.958,129.880,7.651,1.673,228.1,15.6,227.0,252.0,252.0,0,0,far
6.537,7.4,874,2.154,0.011,1.960,129.873,8.700,1.538,244.0,27.2,241.0,300.0,300.0,0,0,far
7.623,7.4,872,2.156,0.015,1.959,129.877,6.172,0.670,287.5,49.5,294.0,391.0,391.0,0,0,far
8.707,7.4,955,2.156,0.013,1.957,129.870,6.673,1.161,239.9,35.3,237.0,313.0,313.0,0,0,far
9.791,7.4,1014,2.162,0.008,1.958,129.876,6.628,0.741,250.1,22.4,260.0,290.0,290.0,0,0,far
10.871,7.4,1004,2.160,0.016,1.955,129.874,6.957,0.841,268.6,57.2,265.0,343.0,343.0,0,0,far
11.966,7.3,945,2.200,0.046,1.960,129.894,7.073,2.208,243.2,44.3,224.0,321.0,321.0,0,0,far
13.062,7.3,1227,2.173,0.015,1.957,130.995,7.511,1.264,232.9,20.9,237.0,265.0,265.0,0,60,orbit
14.144,7.4,1294,2.165,0.018,1.958,129.486,7.326,0.836,237.9,34.4,231.0,299.0,299.0,0,67,orbit
15.229,7.4,1110,2.189,0.094,1.959,129.351,7.911,1.519,242.8,32.6,250.0,290.0,290.0,0,67,orbit
16.295,7.4,841,2.269,0.126,1.954,128.882,7.003,1.705,224.4,22.8,214.0,265.0,265.0,0,66,orbit
17.374,7.5,988,2.131,0.181,1.956,128.277,7.284,1.984,213.2,25.0,209.0,277.0,277.0,0,67,orbit
18.404,7.7,653,2.185,0.082,1.959,124.746,5.487,0.586,213.1,16.9,206.0,247.0,247.0,0,63,orbit
19.424,7.8,554,2.214,0.165,1.959,121.730,5.458,0.717,201.4,8.2,204.0,212.0,212.0,0,64,orbit
20.445,8.0,595,2.153,0.008,1.957,119.904,4.871,0.534,214.5,25.1,211.0,264.0,264.0,0,63,orbit
21.523,8.1,557,2.151,0.014,1.958,117.693,5.237,0.331,234.1,22.2,241.0,265.0,265.0,0,67,orbit
22.639,8.2,670,2.164,0.012,1.959,116.634,5.561,0.791,236.0,30.8,245.0,278.0,278.0,0,69,orbit
23.778,8.0,784,2.165,0.014,1.958,119.000,7.261,1.711,265.3,56.6,257.0,375.0,375.0,0,71,zoom_in
24.779,7.9,926,2.156,0.018,1.960,121.656,6.075,1.003,282.8,71.4,265.0,397.0,397.0,0,62,zoom_in
25.958,7.0,778,2.160,0.016,1.957,137.041,6.432,0.885,286.9,55.6,298.0,387.0,387.0,0,73,zoom_in
27.097,6.0,812,2.174,0.015,1.960,160.649,6.814,0.338,300.3,18.4,305.0,324.0,324.0,0,71,zoom_in
28.303,5.1,911,2.179,0.013,1.960,189.538,8.179,1.445,332.0,44.8,352.0,385.0,385.0,0,74,zoom_in
29.420,4.4,1126,2.196,0.008,1.962,218.829,8.972,1.449,381.4,31.4,391.0,419.0,419.0,0,70,zoom_in
30.650,4.0,1130,2.278,0.015,1.961,242.379,11.338,4.092,494.8,119.6,499.0,663.0,663.0,0,76,zoom_in
31.722,3.7,1048,2.342,0.005,1.960,261.361,12.680,3.022,440.2,25.2,461.0,467.0,467.0,0,66,zoom_in
32.780,3.8,952,2.345,0.040,1.961,255.670,9.766,1.061,423.5,8.2,421.0,437.0,437.0,0,66,zoom_in
33.985,4.0,850,2.335,0.012,1.962,241.831,11.875,2.996,413.8,16.3,410.0,444.0,444.0,0,75,zoom_in
35.259,4.1,929,2.376,0.018,1.962,236.923,11.719,1.942,511.4,106.1,521.0,629.0,629.0,0,79,zoom_in
36.420,4.3,949,2.262,0.081,1.963,227.350,10.190,0.719,420.6,17.8,420.0,448.0,448.0,0,73,look_around
37.503,6.3,1031,2.225,0.020,1.961,151.765,8.644,0.413,361.4,28.1,366.0,404.0,404.0,0,67,look_around
38.641,7.1,1350,2.259,0.019,1.960,134.400,9.736,0.989,312.0,45.9,332.0,367.0,367.0,0,71,look_around
39.814,5.1,886,2.256,0.032,1.963,189.996,9.400,0.872,353.0,49.1,377.0,410.0,410.0,0,73,look_around
40.819,4.9,1188,2.257,0.031,1.961,196.660,11.318,1.834,341.2,36.2,355.0,389.0,389.0,0,62,look_around
41.883,8.4,1572,2.247,0.018,1.960,112.857,9.117,1.569,274.6,57.4,248.0,360.0,360.0,0,66,look_around
42.948,11.4,1725,2.199,0.035,1.958,82.389,8.177,1.370,234.6,59.9,224.0,352.0,352.0,0,66,look_around
43.949,6.0,1012,2.233,0.017,1.958,160.981,8.739,0.689,351.2,72.3,378.0,462.0,462.0,0,62,look_around
45.117,3.6,583,2.262,0.040,1.964,270.832,8.572,1.435,438.2,39.8,458.0,474.0,474.0,0,72,look_around
46.173,3.6,604,2.250,0.016,1.963,270.120,9.275,3.273,391.8,27.1,395.0,431.0,431.0,0,66,look_around
47.294,4.4,910,2.267,0.016,1.959,220.543,9.529,0.733,337.4,38.8,352.0,390.0,390.0,0,46,inside
48.303,4.0,407,2.270,0.007,1.966,245.674,8.905,3.617,355.5,19.4,366.0,379.0,379.0,0,0,inside
49.327,4.0,444,2.273,0.009,1.965,245.676,9.243,2.261,345.8,13.6,358.0,360.0,360.0,0,0,inside
50.317,4.0,468,2.276,0.007,1.964,245.674,7.581,0.698,393.2,26.2,408.0,412.0,412.0,0,0,inside
51.334,4.0,483,2.268,0.009,1.962,245.671,9.162,2.531,371.5,22.2,378.0,397.0,397.0,0,0,inside
52.341,4.0,518,2.295,0.005,1.966,245.656,7.621,0.212,366.0,25.1,385.0,394.0,394.0,0,0,inside
53.365,4.0,519,2.265,0.013,1.963,245.673,9.363,1.149,372.8,30.2,394.0,408.0,408.0,0,0,inside
54.356,4.0,526,2.264,0.013,1.964,245.663,9.712,1.632,374.8,39.7,407.0,414.0,414.0,0,0,inside
55.368,4.0,523,2.285,0.020,1.967,245.658,9.121,0.916,409.5,38.9,397.0,476.0,476.0,0,0,inside
56.424,4.0,522,2.272,0.016,1.963,245.635,8.454,0.867,376.0,35.8,391.0,415.0,415.0,0,0,inside
57.412,4.0,527,2.267,0.011,1.963,245.636,7.865,0.254,385.2,18.6,391.0,413.0,413.0,0,0,inside
58.429,4.0,527,2.271,0.018,1.965,245.659,8.670,0.442,399.8,38.4,420.0,431.0,431.0,0,0,inside
