time_s,fps,kbps,server_ms,server_ms_std,compute_ms,render_ms,decode_ms,decode_ms_std,lat_mean_ms,lat_std_ms,lat_p50_ms,lat_p95_ms,lat_max_ms,lost,ctrl_events,phase
0.352,10.3,2015,29.760,5.697,2.182,64.822,7.080,3.214,0.0,0.0,0.0,0.0,0.0,0,0,far
0.702,12.0,1520,30.552,1.911,2.050,49.208,4.433,0.692,456.0,48.3,468.0,530.0,530.0,0,0,far
1.754,10.8,1375,25.073,3.075,2.042,63.458,4.766,0.650,411.5,47.9,392.0,510.0,510.0,0,0,far
2.803,11.6,1485,29.597,2.797,2.044,49.657,4.389,0.572,413.3,43.0,407.0,543.0,543.0,0,0,far
3.835,10.2,1311,29.088,3.567,2.045,62.546,4.521,0.886,420.0,51.6,403.0,547.0,547.0,0,0,far
4.851,12.6,1623,24.946,3.268,2.042,49.887,4.503,0.869,401.6,32.5,398.0,502.0,502.0,0,0,far
5.907,10.6,1430,27.366,2.881,2.044,62.802,6.990,0.712,422.8,58.9,403.0,551.0,551.0,0,0,far
6.927,12.6,1660,26.080,3.903,2.052,49.791,6.454,1.356,410.1,45.0,402.0,552.0,552.0,0,0,far
7.983,10.4,1392,28.458,3.483,2.041,63.311,5.651,1.373,423.2,60.9,397.0,555.0,555.0,0,0,far
9.038,12.4,1652,27.524,3.727,2.043,49.024,4.329,0.688,403.8,49.2,393.0,560.0,560.0,0,0,far
10.086,10.5,1667,25.752,3.230,2.044,64.160,4.455,0.698,432.3,75.7,400.0,595.0,595.0,0,0,far
11.074,12.0,1424,29.563,2.737,2.053,49.615,4.077,0.722,406.2,53.5,397.0,574.0,574.0,0,0,far
12.270,10.1,1326,29.611,1.962,2.052,65.415,4.661,1.045,426.3,54.7,407.0,566.0,566.0,0,40,orbit
13.336,11.4,1967,29.534,2.285,2.057,53.178,4.855,0.930,392.6,39.1,381.0,512.0,512.0,0,66,orbit
14.494,10.2,1475,27.997,3.987,2.042,64.215,5.128,0.751,403.0,52.0,388.0,523.0,523.0,0,72,orbit
15.507,12.0,1345,29.154,1.953,2.049,50.065,4.585,1.246,390.5,38.2,381.0,509.0,509.0,0,62,orbit
16.675,10.4,979,29.768,2.555,2.053,62.389,4.673,0.692,409.7,57.6,389.0,552.0,552.0,0,73,orbit
17.728,13.4,1376,22.467,2.227,2.029,47.216,4.328,0.720,381.8,40.1,372.0,520.0,520.0,0,65,orbit
18.743,10.7,1113,23.550,0.476,2.039,64.241,4.557,0.636,406.6,53.1,385.0,519.0,519.0,0,63,orbit
19.809,12.2,1301,26.437,3.534,2.036,51.995,4.238,0.625,393.6,39.0,386.0,523.0,523.0,0,66,orbit
20.833,10.0,1194,30.206,1.844,2.050,65.860,4.403,0.782,414.6,65.5,391.0,550.0,550.0,0,63,orbit
21.883,12.3,1397,28.581,3.698,2.045,48.611,4.381,0.602,396.9,45.2,384.0,552.0,552.0,0,65,orbit
23.323,10.0,1205,30.662,1.972,2.048,64.261,4.143,0.398,445.9,149.9,385.0,900.0,900.0,0,89,zoom_in
24.047,11.3,1367,31.363,2.110,2.057,50.683,4.732,0.945,452.3,84.4,447.0,629.0,629.0,0,45,zoom_in
25.238,9.9,835,31.280,2.381,2.074,63.334,4.742,1.698,416.9,48.5,400.0,538.0,538.0,0,74,zoom_in
26.347,11.2,882,31.977,0.726,2.056,53.365,5.048,1.327,408.9,40.7,394.0,537.0,537.0,0,69,zoom_in
27.353,9.9,895,32.246,0.603,2.057,61.661,5.164,0.841,410.3,43.2,392.0,535.0,535.0,0,62,zoom_in
28.515,8.3,666,32.465,1.200,2.054,80.195,3.678,0.408,423.3,67.8,393.0,559.0,559.0,0,72,zoom_in
29.632,9.1,934,30.565,1.977,2.053,74.375,4.567,0.798,414.1,44.1,400.0,544.0,544.0,0,69,zoom_in
30.668,7.6,825,33.497,0.757,2.056,90.202,5.071,1.357,433.5,47.8,422.0,555.0,555.0,0,64,zoom_in
31.788,7.2,794,33.142,0.648,2.057,100.889,3.816,0.479,437.6,45.8,426.0,556.0,556.0,0,69,zoom_in
32.887,7.4,1726,32.384,1.387,2.069,96.374,5.171,1.721,440.6,61.5,419.0,602.0,602.0,0,68,zoom_in
33.945,7.4,845,32.987,1.552,2.056,93.256,4.947,0.943,429.9,47.6,415.0,555.0,555.0,0,66,zoom_in
35.035,7.4,825,33.291,0.559,2.064,96.036,4.959,1.531,434.6,44.5,420.0,551.0,551.0,0,68,look_around
36.066,7.7,862,33.709,0.733,2.078,91.276,4.202,0.622,434.5,43.2,419.0,548.0,548.0,0,64,look_around
37.100,7.8,1098,26.027,3.401,2.066,96.032,4.711,0.727,436.9,54.7,429.0,577.0,577.0,0,64,look_around
38.134,6.9,1226,31.099,1.989,2.086,105.033,5.402,0.914,460.7,53.6,441.0,587.0,587.0,0,64,look_around
39.156,7.6,959,31.386,1.844,2.078,91.528,5.737,0.851,440.1,51.6,417.0,565.0,565.0,0,64,look_around
40.187,7.8,849,26.761,3.591,2.062,96.231,5.057,1.145,427.5,47.1,414.0,551.0,551.0,0,64,look_around
41.196,7.9,879,32.604,0.733,2.063,88.904,4.249,1.112,428.2,44.6,416.0,544.0,544.0,0,62,look_around
42.211,8.9,1055,31.956,2.416,2.076,75.942,5.159,0.695,422.4,41.4,407.0,534.0,534.0,0,63,look_around
43.463,9.0,1028,27.545,3.996,2.069,78.935,4.938,1.007,526.7,173.6,397.0,849.0,849.0,0,77,look_around
44.252,8.0,731,32.356,0.655,2.076,85.392,4.727,1.376,423.0,39.8,416.0,508.0,508.0,0,49,look_around
45.273,7.7,783,32.460,1.314,2.070,88.926,5.152,0.960,426.9,50.8,407.0,559.0,559.0,0,63,look_around
46.331,7.5,868,30.586,2.229,2.059,96.064,4.891,1.064,432.2,49.0,414.0,560.0,560.0,0,66,look_around
47.360,6.8,623,32.420,0.681,2.062,109.618,4.633,0.863,460.3,58.8,439.0,599.0,599.0,0,10,inside
48.428,6.7,1039,30.102,3.410,2.056,112.565,4.589,1.453,473.0,60.4,450.0,618.0,618.0,0,0,inside
49.470,7.7,341,30.048,2.782,2.046,90.667,4.304,1.350,431.1,44.1,414.0,544.0,544.0,0,0,inside
50.497,8.5,353,21.012,4.489,2.052,90.152,4.183,0.613,429.6,42.9,418.0,542.0,542.0,0,0,inside
51.578,9.3,385,21.168,2.778,2.055,82.567,4.518,0.794,423.9,44.3,417.0,546.0,546.0,0,0,inside
52.678,8.5,415,25.893,3.755,2.053,86.905,4.053,0.815,436.4,42.8,421.0,545.0,545.0,0,0,inside
53.653,7.9,587,30.364,3.031,2.040,87.431,4.945,0.681,443.8,49.8,437.0,564.0,564.0,0,0,inside
54.681,7.7,583,31.585,5.759,2.060,91.643,4.309,1.740,447.9,62.9,425.0,604.0,604.0,0,0,inside
55.700,7.8,601,26.001,0.522,2.063,97.230,4.819,1.381,448.5,55.8,439.0,590.0,590.0,0,0,inside
56.769,8.5,647,25.538,0.528,2.043,87.252,4.138,0.846,462.0,48.3,453.0,592.0,592.0,0,0,inside
57.870,8.3,624,25.873,0.220,2.054,90.588,4.671,0.806,440.8,49.1,424.0,574.0,574.0,0,0,inside
