time_s,fps,kbps,server_ms,server_ms_std,compute_ms,render_ms,decode_ms,decode_ms_std,lat_mean_ms,lat_std_ms,lat_p50_ms,lat_p95_ms,lat_max_ms,lost,ctrl_events,phase
0.492,16.2,2793,23.372,4.974,0.965,37.158,6.393,2.637,0.0,0.0,0.0,0.0,0.0,0,0,far
0.747,16.9,2165,21.896,0.113,0.974,33.945,4.317,1.034,575.5,105.5,642.0,691.0,691.0,0,0,far
1.730,17.7,2270,22.109,0.355,0.978,31.907,4.827,0.884,365.3,34.7,350.0,437.0,437.0,0,0,far
2.766,17.3,2230,21.724,1.313,0.972,33.443,4.492,0.997,356.8,27.4,354.0,419.0,419.0,0,0,far
3.819,17.3,2245,22.569,1.688,0.978,32.808,4.847,1.297,364.8,37.1,352.0,451.0,451.0,0,0,far
4.875,15.9,2121,22.110,0.709,0.977,38.092,5.018,0.853,391.5,40.8,373.0,497.0,497.0,0,0,far
5.898,17.6,2717,22.062,0.252,0.979,32.099,5.021,1.093,367.4,18.5,369.0,413.0,413.0,0,0,far
6.909,17.8,2131,21.045,3.246,0.977,32.522,4.601,1.026,367.4,30.4,363.0,424.0,424.0,0,0,far
7.929,18.6,2423,18.569,6.324,0.977,32.830,4.616,0.758,364.7,26.9,367.0,437.0,437.0,0,0,far
8.946,22.0,2959,10.140,2.244,0.958,33.495,6.529,1.347,346.5,24.4,346.0,418.0,418.0,0,0,far
9.958,21.9,2902,9.685,1.690,0.956,34.214,6.068,1.411,353.7,28.9,346.0,417.0,417.0,0,0,far
10.956,22.3,2926,9.697,1.813,0.956,33.492,4.687,1.003,344.4,32.2,340.0,428.0,428.0,0,0,far
11.993,19.5,2928,18.011,4.480,0.965,31.371,5.111,1.092,354.7,27.3,347.0,430.0,430.0,0,24,orbit
13.103,16.3,2627,22.318,1.988,0.976,36.624,5.369,1.403,349.7,34.0,334.0,424.0,424.0,0,69,orbit
14.141,17.4,2573,22.396,0.483,0.975,32.670,4.794,0.833,354.4,40.2,345.0,493.0,493.0,0,64,orbit
15.153,17.7,1976,22.586,0.382,0.975,31.582,4.625,0.912,351.6,23.8,345.0,413.0,413.0,0,63,orbit
16.166,17.8,1766,21.911,1.395,0.982,31.729,4.923,1.405,343.8,24.3,338.0,415.0,415.0,0,62,orbit
17.255,16.6,1550,19.859,4.531,0.974,38.045,4.600,0.890,337.3,31.1,327.0,408.0,408.0,0,68,orbit
18.299,17.4,1952,22.306,0.365,0.974,32.794,4.917,0.896,345.5,29.3,339.0,455.0,455.0,0,64,orbit
19.328,17.3,2074,22.839,1.603,0.981,32.569,5.069,1.166,343.8,34.6,332.0,447.0,447.0,0,64,orbit
20.355,17.5,1885,22.110,0.930,0.979,32.478,6.228,1.339,345.2,27.6,336.0,424.0,424.0,0,64,orbit
21.480,16.2,1834,22.995,1.737,0.978,36.344,5.491,1.254,350.4,32.5,341.0,440.0,440.0,0,69,orbit
