time_s,fps,kbps,server_ms,server_ms_std,compute_ms,render_ms,decode_ms,decode_ms_std,lat_mean_ms,lat_std_ms,lat_p50_ms,lat_p95_ms,lat_max_ms,lost,ctrl_events,phase
1.031,23.6,6483,2.412,0.711,1.972,37.864,9.401,6.384,221.7,101.8,176.0,417.0,417.0,0,0,far
2.047,23.6,3263,2.255,0.026,1.973,37.679,6.877,1.548,156.9,34.7,151.0,232.0,232.0,0,0,far
3.069,23.5,3091,2.257,0.023,1.971,37.800,7.815,2.495,153.3,34.7,139.0,251.0,251.0,0,0,far
4.103,23.6,3105,2.254,0.015,1.971,37.701,6.741,1.439,149.4,28.2,144.0,222.0,222.0,0,0,far
5.156,23.5,2927,2.257,0.018,1.971,37.801,7.124,1.676,153.3,28.0,151.0,232.0,232.0,0,0,far
6.168,23.5,2741,2.255,0.132,1.971,37.756,6.951,2.020,138.5,30.9,128.0,221.0,221.0,0,0,far
7.222,23.5,2534,2.255,0.015,1.970,37.885,6.690,1.063,139.8,26.6,133.0,222.0,222.0,0,0,far
8.195,23.6,2858,2.253,0.015,1.971,37.546,6.889,1.864,149.2,34.7,145.0,214.0,214.0,0,0,far
9.218,23.7,3048,2.244,0.032,1.971,37.409,6.786,1.522,157.7,39.3,155.0,245.0,245.0,0,0,far
10.217,23.7,3177,2.243,0.029,1.972,37.492,6.617,0.951,135.9,25.2,123.0,185.0,185.0,0,0,far
11.239,23.7,3397,2.223,0.097,1.970,37.467,7.400,2.050,150.6,25.7,148.0,211.0,211.0,0,0,far
12.264,23.7,3158,2.239,0.031,1.972,37.533,6.717,1.430,197.8,76.4,167.0,371.0,371.0,0,13,orbit
13.298,23.7,3192,2.254,0.037,1.969,37.366,6.830,1.622,197.5,39.3,187.0,257.0,257.0,0,64,orbit
14.241,23.8,3161,2.215,0.055,1.969,37.338,7.095,1.584,142.3,35.4,138.0,247.0,247.0,0,58,orbit
15.264,23.8,2638,2.235,0.057,1.968,37.332,6.561,1.165,146.7,25.7,140.0,214.0,215.0,0,64,orbit
16.267,23.9,2895,2.214,0.111,1.968,37.200,8.077,2.239,150.7,31.7,142.0,203.0,254.0,0,62,orbit
17.363,22.9,2090,2.153,0.069,1.966,39.003,7.239,1.771,153.6,32.0,145.0,210.0,235.0,0,68,orbit
18.362,25.0,2408,2.205,0.058,1.971,35.340,5.700,1.790,134.4,21.4,132.0,173.0,196.0,0,61,orbit
19.392,25.3,2536,2.194,0.066,1.969,34.865,6.446,1.657,151.4,38.2,135.0,225.0,237.0,0,64,orbit
20.409,25.6,3598,2.125,0.085,1.966,34.423,7.159,1.873,143.2,38.2,128.0,217.0,266.0,0,63,orbit
21.420,25.7,2968,2.213,0.430,1.966,34.238,8.291,2.005,142.5,32.2,137.0,213.0,234.0,0,62,orbit
22.478,23.6,2922,2.122,0.053,1.966,37.875,7.770,2.384,148.5,26.3,138.0,214.0,214.0,0,66,orbit
23.496,26.4,3418,2.103,0.020,1.968,33.310,7.352,1.837,139.3,30.5,131.0,198.0,217.0,0,63,orbit
24.515,26.6,3499,2.100,0.016,1.968,33.111,7.725,1.470,140.1,28.2,135.0,212.0,212.0,0,63,zoom_in
25.607,24.0,3597,2.104,0.076,1.969,37.166,7.355,2.014,147.0,37.5,131.0,223.0,254.0,0,68,zoom_in
26.617,26.3,3603,2.113,0.017,1.970,33.546,8.139,2.393,132.8,25.2,127.0,197.0,213.0,0,62,zoom_in
27.617,25.7,3134,2.108,0.015,1.970,34.310,7.297,0.978,148.0,34.7,134.0,209.0,222.0,0,62,zoom_in
28.704,25.5,3486,2.120,0.019,1.971,34.674,8.280,1.329,160.3,34.7,151.0,210.0,271.0,0,68,zoom_in
29.822,23.0,4717,2.158,0.040,1.972,38.896,9.530,3.465,175.5,42.0,168.0,247.0,299.0,0,69,zoom_in
30.795,24.8,2774,2.199,0.020,1.973,35.664,7.907,1.765,146.4,32.6,132.0,201.0,230.0,0,61,zoom_in
31.790,24.4,2991,2.331,0.435,1.972,36.222,8.089,1.684,143.8,26.8,137.0,198.0,215.0,0,61,zoom_in
32.808,24.3,2820,2.266,0.020,1.972,36.367,7.879,1.497,152.5,34.2,144.0,210.0,239.0,0,63,zoom_in
33.795,24.0,3012,2.327,0.031,1.971,36.865,8.306,2.451,146.1,23.4,141.0,183.0,209.0,0,61,zoom_in
34.831,23.9,5816,2.401,0.163,1.973,36.968,9.407,5.366,154.8,30.8,153.0,217.0,223.0,0,64,zoom_in
35.797,23.9,2447,2.380,0.021,1.973,36.901,7.522,1.409,183.6,68.2,166.0,366.0,366.0,0,60,look_around
36.835,23.7,3170,2.344,0.035,1.973,37.334,7.746,2.419,179.5,59.5,157.0,326.0,326.0,0,64,look_around
37.840,24.0,3551,2.348,0.086,1.972,36.850,8.213,1.228,175.7,33.5,172.0,250.0,250.0,0,62,look_around
38.841,24.3,3146,2.358,0.099,1.972,36.281,7.489,1.455,166.3,39.4,147.0,246.0,246.0,0,62,look_around
39.902,24.3,5197,2.385,0.095,1.973,36.292,8.353,4.916,181.4,41.7,167.0,307.0,307.0,0,66,look_around
40.917,24.5,2360,2.303,0.056,1.973,36.004,7.533,1.491,156.4,25.2,155.0,202.0,213.0,0,63,look_around
41.915,24.8,2323,2.231,0.026,1.972,35.374,7.270,1.465,145.0,24.7,136.0,197.0,208.0,0,61,look_around
43.012,23.0,2410,2.315,0.428,1.972,38.756,7.450,1.768,149.8,28.6,146.0,205.0,220.0,0,68,look_around
44.022,24.3,2769,2.300,0.054,1.973,36.376,9.226,2.178,142.0,17.0,137.0,173.0,187.0,0,63,look_around
45.025,24.0,5512,2.399,0.116,1.973,36.811,8.708,4.718,166.1,63.9,138.0,366.0,366.0,0,62,look_around
46.058,24.3,3143,2.369,0.025,1.972,36.274,8.333,1.314,142.3,29.3,134.0,209.0,210.0,0,64,look_around
47.069,24.4,2778,2.339,0.032,1.973,36.114,9.385,2.366,134.4,16.0,133.0,152.0,190.0,0,55,inside
