time_s,fps,kbps,server_ms,server_ms_std,compute_ms,render_ms,decode_ms,decode_ms_std,lat_mean_ms,lat_std_ms,lat_p50_ms,lat_p95_ms,lat_max_ms,lost,ctrl_events,phase
1.235,9.5,1519,29.719,6.888,2.027,73.653,7.687,2.078,1000.0,0.0,1000.0,1000.0,1000.0,0,0,far
2.146,9.3,1263,28.810,3.892,2.038,73.659,6.121,0.750,577.4,86.4,551.0,739.0,739.0,0,0,far
3.329,9.2,1186,22.804,4.363,2.054,73.623,5.780,0.942,469.5,103.0,431.0,726.0,726.0,0,0,far
4.274,9.4,1262,25.881,4.475,2.054,73.606,4.385,1.066,579.0,113.1,550.0,735.0,735.0,0,0,far
5.351,8.7,1135,31.251,2.247,2.039,73.894,5.303,0.926,432.8,22.4,428.0,483.0,483.0,0,0,far
6.363,8.5,1133,30.701,3.187,2.049,73.594,4.465,0.752,430.4,15.9,429.0,455.0,455.0,0,0,far
7.408,9.4,1221,24.419,2.642,2.045,73.597,4.491,1.026,506.9,93.8,495.0,701.0,701.0,0,0,far
8.740,9.5,1281,24.527,2.045,2.063,73.607,4.501,1.634,609.9,134.9,595.0,838.0,838.0,0,0,far
9.553,9.3,1257,28.867,4.066,2.057,73.595,4.701,0.887,565.4,97.4,534.0,749.0,749.0,0,0,far
10.541,8.8,1155,31.538,0.689,2.044,73.601,3.892,1.022,611.4,111.2,599.0,765.0,765.0,0,0,far
11.557,8.9,1200,31.392,2.573,2.044,73.576,4.484,0.659,434.8,19.7,432.0,471.0,471.0,0,0,far
12.575,8.9,1194,30.268,3.184,2.049,73.613,5.142,0.814,419.9,20.1,421.0,458.0,458.0,0,18,orbit
13.623,8.7,1325,31.989,0.544,2.068,73.655,4.248,0.996,480.2,84.9,459.0,670.0,670.0,0,65,orbit
14.771,9.4,1275,27.624,2.698,2.067,73.620,4.455,0.958,515.6,114.6,523.0,741.0,741.0,0,71,orbit
15.729,9.2,1237,30.615,5.174,2.057,73.614,4.591,0.866,419.8,23.8,413.0,468.0,468.0,0,59,orbit
16.808,9.2,1182,29.862,4.933,2.082,73.609,4.103,0.665,521.2,89.0,512.0,700.0,700.0,0,67,orbit
17.959,9.1,1159,31.638,2.062,2.046,73.591,4.098,1.088,547.8,103.8,558.0,745.0,745.0,0,72,orbit
19.276,9.1,1205,31.899,2.198,2.035,73.583,4.023,1.106,605.5,90.3,646.0,759.0,759.0,0,82,orbit
20.151,9.0,1296,29.765,2.853,2.044,73.626,3.838,0.856,774.0,190.5,756.0,1148.0,1148.0,0,54,orbit
21.366,9.2,1142,30.761,2.762,2.038,73.576,4.293,0.846,601.4,102.6,584.0,738.0,738.0,0,75,orbit
22.197,9.3,1174,29.168,3.970,2.059,73.607,4.028,1.262,542.2,50.5,547.0,622.0,622.0,0,52,orbit
23.441,9.0,1251,31.418,1.094,2.035,73.595,4.300,1.017,539.2,138.0,455.0,761.0,761.0,0,77,orbit
24.235,9.5,1171,25.012,1.889,2.029,73.572,4.615,0.992,414.6,11.5,411.0,436.0,436.0,0,49,zoom_in
25.299,9.5,1317,27.631,3.145,2.037,73.552,4.755,0.682,417.1,17.4,418.0,439.0,439.0,0,66,zoom_in
26.318,9.0,1496,32.143,0.912,2.045,73.559,5.277,1.728,417.1,22.3,414.0,471.0,471.0,0,63,zoom_in
27.307,9.0,1328,32.696,0.801,2.039,73.573,5.733,1.111,418.0,9.4,418.0,433.0,433.0,0,61,zoom_in
28.661,9.1,1222,31.027,2.882,2.034,73.554,4.657,0.822,487.9,112.0,429.0,697.0,697.0,0,84,zoom_in
29.506,9.1,1251,31.107,1.311,2.059,72.692,4.057,0.787,551.5,58.1,556.0,656.0,656.0,0,52,zoom_in
30.565,9.3,1380,32.412,1.887,2.073,69.429,4.553,0.967,434.2,39.8,415.0,511.0,511.0,0,65,zoom_in
31.825,10.2,1510,29.676,4.663,2.037,64.335,5.118,1.304,585.6,79.4,591.0,697.0,697.0,0,78,zoom_in
33.377,10.4,1576,33.142,0.779,2.059,56.576,4.583,1.025,818.4,310.5,733.0,1243.0,1243.0,0,96,zoom_in
33.846,12.6,1834,25.446,3.095,2.055,49.953,3.864,0.908,839.5,143.5,983.0,983.0,983.0,0,29,zoom_in
34.870,13.2,1870,32.441,0.715,2.057,38.936,4.377,1.034,521.6,87.2,502.0,652.0,652.0,0,63,zoom_in
35.813,15.9,2510,30.236,3.539,2.032,28.972,5.147,1.529,534.9,76.7,550.0,634.0,634.0,0,59,look_around
37.032,20.0,3708,25.970,2.716,2.030,20.877,4.337,1.205,571.9,107.6,637.0,700.0,700.0,0,75,look_around
37.895,19.3,3200,32.755,0.555,2.035,14.204,4.413,1.806,485.8,129.7,516.0,686.0,686.0,0,53,look_around
38.939,19.8,3239,34.595,6.315,2.046,11.986,4.621,0.979,443.1,103.8,400.0,649.0,649.0,0,65,look_around
39.897,18.0,2602,33.410,2.857,2.049,16.638,3.960,1.134,513.6,112.7,568.0,641.0,641.0,0,59,look_around
41.007,18.0,2478,30.304,3.498,2.051,21.715,4.104,1.067,559.2,79.6,546.0,680.0,680.0,0,68,look_around
42.150,20.2,2471,30.846,5.654,2.037,15.479,4.504,1.162,396.7,66.1,383.0,606.0,606.0,0,71,look_around
43.455,23.1,2465,30.464,5.950,2.048,9.722,3.744,1.023,456.5,121.3,433.0,815.0,815.0,0,81,look_around
44.027,19.6,1998,31.753,8.023,2.028,14.799,3.613,1.237,456.3,149.1,381.0,771.0,771.0,0,35,look_around
45.174,15.9,2725,33.714,5.910,2.046,23.539,4.738,1.104,514.7,134.5,559.0,676.0,676.0,0,71,look_around
46.219,14.8,2421,33.234,0.515,2.039,29.259,4.563,0.976,542.3,92.7,583.0,644.0,644.0,0,65,look_around
47.263,17.4,2387,32.835,2.880,2.046,21.124,4.509,0.745,558.0,93.2,534.0,718.0,718.0,0,60,inside
48.119,16.3,2000,34.719,4.020,2.046,22.719,4.593,0.894,448.8,74.8,412.0,623.0,623.0,0,0,inside
49.212,15.8,1580,34.671,4.024,2.037,23.451,4.017,0.643,456.1,123.9,412.0,708.0,708.0,0,0,inside
50.475,15.8,1908,34.422,4.024,2.038,23.483,4.070,0.971,554.1,88.0,594.0,658.0,658.0,0,0,inside
51.175,16.0,1645,34.660,4.129,2.038,23.453,4.186,1.264,439.6,105.8,388.0,705.0,705.0,0,0,inside
52.397,16.5,1643,33.466,3.548,2.045,23.455,3.947,0.908,418.7,69.4,386.0,610.0,610.0,0,0,inside
53.569,17.1,1923,31.511,5.991,2.034,23.429,3.186,0.812,538.9,91.6,554.0,691.0,691.0,0,0,inside
54.297,15.9,2123,35.253,5.047,2.039,23.437,4.132,0.982,408.1,32.4,391.0,466.0,466.0,0,0,inside
56.096,18.6,2466,25.843,4.329,2.063,23.470,4.096,0.880,754.6,323.0,685.0,1292.0,1292.0,0,0,inside
56.422,18.0,2393,27.687,5.319,2.049,23.448,3.376,0.815,873.5,210.5,1084.0,1084.0,1084.0,0,0,inside
57.629,16.7,2247,33.139,7.935,2.030,23.430,4.248,0.894,509.6,110.5,555.0,651.0,651.0,0,0,inside
58.675,16.4,2164,33.679,8.001,2.042,23.417,3.665,0.831,600.7,57.7,597.0,709.0,709.0,0,0,inside
