time_s,fps,kbps,server_ms,server_ms_std,compute_ms,render_ms,decode_ms,decode_ms_std,lat_mean_ms,lat_std_ms,lat_p50_ms,lat_p95_ms,lat_max_ms,lost,ctrl_events,phase
1.088,3.6,738,29.775,7.392,0.938,245.174,7.896,3.694,836.0,0.0,836.0,836.0,836.0,0,0,far
2.165,3.7,492,21.910,0.042,0.980,244.790,4.434,0.740,596.5,25.5,621.0,623.0,623.0,0,0,far
3.260,3.6,483,22.325,0.340,0.979,244.961,3.828,0.308,574.2,12.9,574.0,594.0,594.0,0,0,far
4.345,3.7,495,19.737,4.055,0.982,244.868,4.409,1.148,590.8,20.4,590.0,623.0,623.0,0,0,far
5.440,3.7,477,22.036,0.117,0.977,244.945,4.042,0.692,585.5,16.8,596.0,599.0,599.0,0,0,far
6.536,3.7,492,22.141,0.087,0.975,244.869,3.620,0.238,605.0,14.1,613.0,624.0,624.0,0,0,far
7.638,3.6,480,23.935,2.539,0.981,244.875,4.081,0.310,609.8,24.8,603.0,652.0,652.0,0,0,far
8.725,3.6,452,23.027,1.826,0.973,244.676,3.642,0.203,585.8,18.8,603.0,605.0,605.0,0,0,far
9.824,3.7,491,18.823,5.704,0.973,244.959,3.786,0.324,591.0,18.2,605.0,606.0,606.0,0,0,far
10.896,3.7,498,18.790,6.128,0.970,244.912,3.447,0.303,587.0,20.0,586.0,620.0,620.0,0,0,far
11.988,3.6,478,22.556,0.387,0.979,244.951,3.913,0.395,590.5,13.7,589.0,612.0,612.0,0,0,far
13.083,3.6,512,22.206,0.226,0.980,245.095,4.387,1.656,578.8,16.0,589.0,599.0,599.0,0,40,orbit
14.193,3.6,524,24.239,2.556,0.971,244.733,3.576,0.189,591.8,11.1,590.0,609.0,609.0,0,68,orbit
15.313,3.6,509,20.936,3.230,0.973,251.376,3.602,0.319,602.8,8.2,608.0,610.0,610.0,0,70,orbit
16.457,3.5,420,22.470,6.734,0.989,257.133,3.804,0.578,604.5,26.5,614.0,636.0,636.0,0,71,orbit
17.574,3.5,473,22.428,0.075,0.979,253.107,3.615,0.130,642.0,22.7,652.0,671.0,671.0,0,69,orbit
18.707,3.5,477,23.412,0.657,0.981,252.337,4.208,0.581,685.2,41.3,721.0,723.0,723.0,0,71,orbit
19.831,3.6,499,18.534,6.085,0.971,255.779,3.764,0.176,668.0,78.1,641.0,800.0,800.0,0,69,orbit
20.979,3.5,443,22.558,0.254,0.984,256.216,3.393,0.159,620.5,12.5,630.0,631.0,631.0,0,72,orbit
22.109,3.5,451,19.103,5.336,0.973,259.481,3.869,0.798,635.8,37.3,637.0,694.0,694.0,0,69,orbit
23.245,3.5,431,21.668,1.878,0.974,257.073,3.450,0.423,597.3,16.7,602.0,615.0,615.0,0,71,orbit
24.370,3.5,508,19.565,5.314,0.975,255.951,4.097,0.698,587.5,6.5,593.0,595.0,595.0,0,70,zoom_in
25.493,3.6,503,19.226,6.083,0.976,252.721,4.034,0.318,609.0,7.6,608.0,621.0,621.0,0,69,zoom_in
