time_s,fps,kbps,server_ms,server_ms_std,compute_ms,render_ms,decode_ms,decode_ms_std,lat_mean_ms,lat_std_ms,lat_p50_ms,lat_p95_ms,lat_max_ms,lost,ctrl_events,phase
1.037,51.9,10134,2.125,0.296,1.953,15.158,7.246,3.495,212.1,73.7,226.0,327.0,327.0,0,0,far
2.039,51.5,6964,2.078,0.010,1.952,15.148,5.494,1.155,107.9,14.1,103.0,137.0,137.0,0,0,far
3.057,51.4,6902,2.073,0.103,1.952,15.195,5.803,1.277,109.4,9.1,107.0,126.0,126.0,0,0,far
4.057,51.5,6776,2.078,0.013,1.951,15.146,5.542,1.044,106.8,15.0,104.0,149.0,149.0,0,0,far
5.071,51.5,7012,2.068,0.084,1.965,15.148,6.264,1.755,116.6,12.4,116.0,142.0,142.0,0,0,far
6.082,51.2,6786,2.079,0.010,1.951,15.152,6.313,2.053,116.1,11.5,116.0,143.0,143.0,0,0,far
7.093,51.5,7012,2.066,0.084,1.952,15.151,5.867,1.243,110.7,16.7,107.0,162.0,162.0,0,0,far
8.106,51.5,6917,2.076,0.014,1.951,15.150,5.569,1.135,110.1,17.9,109.0,162.0,162.0,0,0,far
9.114,51.5,6840,2.078,0.009,1.951,15.158,6.140,1.850,109.1,9.9,110.0,126.0,126.0,0,0,far
10.144,51.4,7074,2.110,0.320,1.950,15.157,6.156,1.652,108.8,13.2,107.0,146.0,146.0,0,0,far
11.142,51.5,6997,2.079,0.008,1.952,15.149,6.253,1.744,111.7,11.5,109.0,138.0,138.0,0,0,far
12.145,51.5,7127,2.067,0.084,1.952,15.138,6.019,1.597,106.8,9.0,106.0,125.0,131.0,0,23,orbit
13.158,51.2,6897,2.080,0.012,1.951,15.236,6.504,1.913,110.8,11.2,112.0,129.0,137.0,0,63,orbit
14.182,48.4,6672,2.071,0.083,1.951,16.360,6.148,1.211,119.4,13.3,118.0,140.0,145.0,0,63,orbit
15.185,48.5,6497,2.131,0.327,1.952,16.266,6.304,1.927,110.8,11.5,112.0,133.0,139.0,0,62,orbit
16.194,51.0,6366,2.081,0.012,1.951,15.311,5.687,1.417,110.9,11.6,108.0,134.0,134.0,0,63,orbit
17.229,50.1,6865,2.144,0.149,1.950,15.623,6.448,1.927,111.1,10.2,112.0,131.0,137.0,0,64,orbit
18.241,48.8,6546,2.106,0.073,1.951,16.156,5.694,1.157,111.6,10.9,114.0,136.0,139.0,0,62,orbit
19.251,49.2,6893,2.065,0.083,1.951,16.059,6.055,1.287,111.7,11.8,110.0,133.0,134.0,0,63,orbit
20.240,49.5,7247,2.125,0.310,1.952,15.876,6.180,1.524,109.5,10.4,112.0,124.0,135.0,0,61,orbit
21.245,47.7,6819,2.082,0.009,1.951,16.680,6.173,1.655,117.0,13.3,114.0,146.0,148.0,0,62,orbit
22.275,49.4,6343,2.062,0.086,1.951,15.977,6.249,1.692,116.5,12.4,118.0,138.0,140.0,0,64,orbit
23.280,48.5,5856,2.082,0.010,1.952,16.293,6.051,1.864,109.7,9.2,108.0,128.0,133.0,0,62,orbit
24.290,49.5,6571,2.068,0.082,1.952,15.922,6.147,2.073,113.1,13.1,112.0,140.0,143.0,0,63,zoom_in
25.298,50.6,7665,2.084,0.012,1.951,15.486,6.301,1.578,110.0,10.8,111.0,127.0,132.0,0,63,zoom_in
26.307,51.5,7887,2.115,0.321,1.952,15.095,7.821,2.192,113.2,11.3,113.0,135.0,144.0,0,62,zoom_in
27.326,55.3,7747,2.075,0.011,1.954,13.822,6.709,2.192,114.6,11.9,113.0,145.0,147.0,0,63,zoom_in
28.317,58.6,9905,2.066,0.068,1.952,12.372,6.625,1.627,105.5,8.8,106.0,117.0,134.0,0,62,zoom_in
29.342,59.3,10304,2.058,0.010,1.953,11.006,6.073,1.340,105.8,10.0,105.0,125.0,130.0,0,63,zoom_in
30.356,59.4,10197,2.098,0.301,1.957,9.695,6.100,1.516,106.0,9.1,105.0,123.0,129.0,0,63,zoom_in
31.353,59.3,10373,2.121,0.104,1.959,8.419,5.782,1.208,105.8,10.1,104.0,124.0,129.0,0,62,zoom_in
32.370,59.4,9411,2.186,0.136,1.958,7.469,5.572,1.363,103.6,10.8,104.0,122.0,130.0,0,63,zoom_in
33.372,59.8,10186,2.091,0.079,1.960,5.709,5.936,1.394,99.8,8.7,101.0,112.0,116.0,0,62,zoom_in
34.379,59.8,9899,2.109,0.305,1.961,4.501,8.292,2.342,102.9,10.0,103.0,122.0,126.0,0,62,zoom_in
35.367,59.9,10374,2.059,0.016,1.962,3.847,7.245,1.990,103.1,12.5,104.0,129.0,133.0,0,61,look_around
36.367,59.9,9050,2.051,0.068,1.962,3.208,5.800,1.289,95.9,12.5,97.0,115.0,138.0,0,62,look_around
37.379,59.9,8769,2.060,0.012,1.961,3.021,5.653,1.190,141.9,65.0,121.0,258.0,346.0,0,63,look_around
38.380,59.9,8388,2.049,0.069,1.961,3.019,6.160,1.542,345.4,169.7,410.0,618.0,618.0,0,62,look_around
39.403,59.9,8887,2.096,0.291,1.961,3.300,6.450,1.715,105.6,13.7,103.0,127.0,160.0,0,63,look_around
40.399,59.8,7491,2.047,0.076,1.963,3.412,5.864,1.979,109.1,18.0,106.0,128.0,196.0,0,62,look_around
41.382,59.9,6029,2.056,0.013,1.960,3.026,5.255,1.637,103.4,12.6,103.0,123.0,145.0,0,61,look_around
42.381,59.9,4783,2.045,0.076,1.961,3.024,4.600,1.025,92.0,9.3,91.0,105.0,128.0,0,62,look_around
43.386,59.9,8095,2.099,0.289,1.961,3.118,6.157,1.590,93.7,8.6,94.0,108.0,115.0,0,62,look_around
44.389,59.9,10390,2.050,0.069,1.961,3.828,6.957,1.778,95.8,10.9,95.0,117.0,122.0,0,63,look_around
45.401,59.8,9296,2.058,0.023,1.962,4.019,7.008,1.971,96.8,11.1,95.0,118.0,122.0,0,62,look_around
46.402,59.8,7665,2.050,0.069,1.961,3.457,6.836,2.199,98.6,13.9,98.0,117.0,151.0,0,62,look_around
47.404,59.9,8306,2.096,0.290,1.961,3.647,5.044,0.947,98.1,10.7,99.0,116.0,125.0,0,15,inside
