time_s,fps,kbps,server_ms,server_ms_std,compute_ms,render_ms,decode_ms,decode_ms_std,lat_mean_ms,lat_std_ms,lat_p50_ms,lat_p95_ms,lat_max_ms,lost,ctrl_events,phase
1.340,14.9,2361,23.852,2.252,19.569,23.573,5.333,2.495,1064.5,1.5,1066.0,1066.0,1066.0,0,0,far
2.057,14.7,1940,23.113,1.453,19.516,23.562,3.282,0.321,435.1,73.5,390.0,595.0,595.0,0,0,far
3.082,14.5,1922,23.330,0.622,19.549,23.538,3.380,0.466,384.1,17.8,390.0,416.0,416.0,0,0,far
4.105,14.5,1902,23.320,0.651,19.559,23.519,3.428,0.330,386.3,19.2,387.0,424.0,424.0,0,0,far
5.157,14.6,1905,23.802,1.272,19.588,23.538,3.640,0.455,395.1,22.2,399.0,448.0,448.0,0,0,far
6.144,14.8,1941,23.042,0.504,19.557,23.522,3.749,0.562,389.8,16.4,393.0,415.0,415.0,0,0,far
7.151,14.8,1944,22.858,0.520,19.569,23.537,4.261,1.082,388.8,19.5,396.0,416.0,416.0,0,0,far
8.236,15.0,2380,21.961,2.298,19.533,23.708,3.716,1.170,384.2,18.9,390.0,420.0,420.0,0,0,far
9.244,15.0,1892,21.324,2.140,19.559,23.539,3.698,0.692,374.2,20.8,365.0,419.0,419.0,0,0,far
10.270,14.5,1907,23.031,1.120,19.573,23.500,4.073,0.926,378.3,13.0,381.0,399.0,399.0,0,0,far
11.283,14.5,1924,23.230,0.505,19.539,23.510,3.726,0.591,386.5,10.7,385.0,404.0,404.0,0,0,far
12.330,14.7,1960,23.822,1.461,19.575,23.517,3.388,0.460,558.6,185.4,558.0,888.0,888.0,0,0,far
13.366,14.4,2488,23.585,0.538,19.566,23.477,4.030,1.522,376.5,14.0,376.0,409.0,409.0,0,57,orbit
14.380,14.5,2308,23.557,0.782,19.565,23.268,4.003,0.916,369.7,13.6,367.0,400.0,400.0,0,63,orbit
15.396,14.9,1591,23.356,0.628,19.557,23.100,3.208,0.215,366.5,10.1,368.0,383.0,383.0,0,62,orbit
16.469,15.0,1607,22.622,1.716,19.534,23.087,3.079,0.227,364.7,9.1,364.0,382.0,382.0,0,67,orbit
17.542,15.0,2085,22.210,2.643,19.597,23.382,3.339,0.299,368.1,10.0,363.0,391.0,391.0,0,66,orbit
18.564,14.4,1961,21.382,2.934,19.611,25.545,3.581,0.650,361.4,5.7,362.0,371.0,371.0,0,64,orbit
19.659,14.2,1745,23.537,0.658,19.562,25.774,3.226,0.584,372.4,7.7,372.0,388.0,388.0,0,68,orbit
20.712,14.2,1808,23.707,0.533,19.556,23.455,3.768,1.111,372.9,13.4,371.0,406.0,406.0,0,65,orbit
21.718,14.4,1535,23.534,0.999,19.557,23.330,3.375,0.665,377.5,14.6,382.0,402.0,402.0,0,63,orbit
22.733,14.9,1886,22.836,2.257,19.580,23.378,3.323,0.514,376.4,14.8,374.0,410.0,410.0,0,63,orbit
23.737,14.8,2268,23.077,1.585,19.602,23.432,3.925,1.139,372.9,8.1,375.0,387.0,387.0,0,62,orbit
24.823,14.8,1756,23.246,0.631,19.569,23.373,3.120,0.412,560.9,186.8,502.0,905.0,905.0,0,68,zoom_in
25.773,14.7,1493,23.281,0.452,19.558,23.733,4.793,2.021,371.2,19.1,365.0,426.0,426.0,0,59,zoom_in
26.817,14.6,1938,23.097,0.636,19.547,24.272,3.450,0.330,368.7,11.6,372.0,394.0,394.0,0,65,zoom_in
27.842,14.4,2285,22.815,1.422,19.548,24.700,3.530,0.174,369.4,10.3,370.0,390.0,390.0,0,63,zoom_in
28.906,14.4,2582,23.228,0.754,19.587,24.911,3.694,0.266,375.1,10.0,373.0,401.0,401.0,0,66,zoom_in
29.941,14.2,2775,23.342,1.448,19.543,24.826,4.089,0.923,377.9,10.4,376.0,402.0,402.0,0,64,zoom_in
30.981,14.4,2915,24.204,0.670,19.537,24.423,4.298,0.652,376.3,13.7,373.0,399.0,399.0,0,64,zoom_in
32.008,14.6,2795,24.002,0.489,19.554,23.595,4.103,0.826,374.7,10.1,375.0,388.0,388.0,0,64,zoom_in
33.019,14.9,3047,23.342,1.900,19.542,23.009,4.897,1.893,371.8,15.3,370.0,406.0,406.0,0,62,zoom_in
34.085,15.0,2630,22.789,1.906,19.586,22.928,3.941,0.416,371.6,10.4,371.0,389.0,389.0,0,66,zoom_in
35.115,14.8,2383,23.721,0.915,19.532,22.829,4.056,1.211,369.6,12.2,364.0,393.0,393.0,0,64,zoom_in
36.219,14.6,1978,23.749,1.224,19.570,22.780,3.703,0.777,529.5,177.9,461.0,868.0,868.0,0,68,look_around
37.147,14.7,1284,23.173,1.453,19.576,22.656,3.551,0.946,369.0,17.6,364.0,403.0,403.0,0,58,look_around
38.171,14.7,2207,24.532,0.551,19.551,22.586,3.662,0.375,366.1,10.3,365.0,392.0,392.0,0,63,look_around
39.175,14.9,2320,23.311,1.304,19.574,22.603,3.814,0.395,370.6,9.4,371.0,391.0,391.0,0,62,look_around
40.236,15.0,1450,22.836,1.476,19.569,22.660,3.370,0.641,364.9,12.8,363.0,388.0,388.0,0,66,look_around
41.264,14.9,2599,23.382,0.660,19.534,22.706,3.690,0.737,368.1,12.1,364.0,396.0,396.0,0,64,look_around
42.263,14.7,2727,23.026,1.573,19.568,22.584,4.941,1.620,372.7,17.5,368.0,418.0,418.0,0,62,look_around
43.320,15.2,2496,22.583,2.313,19.534,22.557,4.014,0.674,377.3,22.7,373.0,422.0,422.0,0,65,look_around
44.389,15.3,2457,21.770,2.811,19.540,22.649,4.182,1.152,371.9,10.0,371.0,396.0,396.0,0,66,look_around
45.426,14.7,1969,22.838,0.347,19.526,22.706,4.158,0.943,367.9,8.2,368.0,385.0,385.0,0,64,look_around
46.416,14.6,1933,22.969,0.470,19.542,22.716,4.839,1.227,365.8,12.5,358.0,390.0,390.0,0,62,look_around
47.413,14.9,2229,23.256,0.447,19.565,22.693,4.099,1.059,367.7,13.8,366.0,394.0,394.0,0,55,inside
48.461,14.8,1100,23.631,1.598,19.552,22.976,3.512,0.678,379.9,16.4,385.0,406.0,406.0,0,0,inside
49.472,14.6,1011,22.858,0.428,19.555,22.723,3.309,0.876,373.1,16.1,375.0,398.0,398.0,0,0,inside
50.478,14.7,811,23.115,1.461,19.554,22.741,3.171,0.157,374.6,18.6,384.0,409.0,409.0,0,0,inside
51.488,14.9,872,23.398,0.527,19.540,22.733,3.105,0.510,378.1,21.5,378.0,412.0,412.0,0,0,inside
52.494,14.9,912,23.249,0.616,19.572,22.741,3.191,0.442,382.1,26.2,378.0,446.0,446.0,0,0,inside
53.507,14.9,962,23.332,0.317,19.565,22.738,3.011,0.282,379.3,16.2,375.0,405.0,405.0,0,0,inside
54.525,15.0,911,23.084,1.515,19.528,22.736,3.165,0.520,380.8,19.1,385.0,407.0,407.0,0,0,inside
55.538,14.7,964,22.860,1.694,19.585,22.746,3.109,0.281,372.9,20.8,369.0,417.0,417.0,0,0,inside
56.566,14.7,976,23.151,1.479,19.601,22.743,3.029,0.350,388.7,16.5,391.0,413.0,413.0,0,0,inside
57.577,14.6,1164,23.539,0.619,19.571,22.747,3.217,0.755,386.1,13.1,387.0,411.0,411.0,0,0,inside
58.572,14.9,1060,23.414,0.474,19.573,22.750,2.966,0.373,371.1,18.5,374.0,407.0,407.0,0,0,inside
