time_s,fps,kbps,server_ms,server_ms_std,compute_ms,render_ms,decode_ms,decode_ms_std,lat_mean_ms,lat_std_ms,lat_p50_ms,lat_p95_ms,lat_max_ms,lost,ctrl_events,phase
2.065,15.6,2466,18.560,2.983,8.056,37.557,5.838,2.682,1677.0,0.0,1677.0,1677.0,1677.0,0,0,far
2.467,15.3,2012,18.089,3.268,8.069,37.529,3.390,0.288,1056.6,64.9,1083.0,1123.0,1123.0,0,0,far
3.113,15.7,2034,16.770,6.076,8.073,37.510,3.622,0.783,482.9,124.6,403.0,715.0,715.0,0,0,far
4.139,15.6,2037,17.149,3.854,8.068,37.493,3.963,0.840,384.8,12.1,386.0,402.0,402.0,0,0,far
5.180,15.4,2034,17.978,2.575,8.073,37.531,3.381,0.254,378.8,19.2,376.0,426.0,426.0,0,0,far
6.232,15.2,2037,18.587,5.195,8.069,37.504,3.804,0.568,368.6,19.5,371.0,406.0,406.0,0,0,far
7.276,15.5,2054,17.461,4.378,8.070,37.523,4.053,0.602,365.1,16.9,365.0,394.0,394.0,0,0,far
8.293,16.5,2512,13.627,4.559,8.063,37.487,4.323,1.164,355.6,17.7,354.0,380.0,380.0,0,0,far
9.311,15.9,2098,16.088,5.064,8.068,37.511,4.153,0.879,357.3,20.8,357.0,386.0,386.0,0,0,far
10.359,14.7,1982,20.810,8.997,8.062,37.479,4.045,1.059,379.7,30.3,377.0,443.0,443.0,0,0,far
11.361,15.5,2045,17.621,4.613,8.063,37.513,6.056,1.106,373.4,21.0,370.0,432.0,432.0,0,0,far
12.375,15.7,2032,16.415,4.417,8.065,37.501,5.078,1.284,373.3,21.2,376.0,404.0,404.0,0,0,far
13.417,15.3,2318,18.333,2.957,8.062,37.444,3.539,0.343,365.2,18.2,367.0,389.0,389.0,0,37,orbit
14.445,15.5,2683,17.819,5.125,8.062,37.029,3.603,0.348,351.3,15.2,351.0,390.0,390.0,0,64,orbit
15.468,15.7,1792,18.489,4.804,8.063,36.188,3.583,0.504,344.4,12.7,344.0,370.0,370.0,0,64,orbit
16.478,15.9,1587,17.429,6.080,8.069,35.811,3.823,0.820,340.6,12.1,339.0,366.0,366.0,0,62,orbit
17.482,15.8,1997,17.636,4.562,8.066,36.063,3.501,0.525,339.1,14.9,334.0,372.0,372.0,0,63,orbit
18.883,15.7,2230,17.706,3.535,8.062,36.683,3.719,0.496,394.9,137.1,346.0,783.0,783.0,0,87,orbit
19.544,15.4,1763,18.332,4.868,8.064,37.116,3.786,0.747,416.9,105.2,360.0,639.0,639.0,0,41,orbit
20.594,15.2,1911,19.193,3.998,8.064,36.909,3.528,0.361,338.4,13.4,336.0,364.0,364.0,0,65,orbit
21.655,15.5,1813,18.463,5.283,8.071,36.528,3.730,1.002,342.9,15.9,342.0,384.0,384.0,0,66,orbit
22.670,15.4,1790,18.499,4.167,8.069,36.766,3.779,1.188,340.2,12.4,341.0,361.0,361.0,0,63,orbit
