time_s,fps,kbps,server_ms,server_ms_std,compute_ms,render_ms,decode_ms,decode_ms_std,lat_mean_ms,lat_std_ms,lat_p50_ms,lat_p95_ms,lat_max_ms,lost,ctrl_events,phase
0.975,25.0,4567,2.298,0.473,20.596,17.074,7.895,2.944,165.4,37.6,161.0,248.0,248.0,0,0,far
1.980,24.7,3619,2.202,0.019,20.606,17.039,6.000,1.114,171.5,32.1,171.0,255.0,255.0,0,0,far
3.019,24.8,3497,2.196,0.007,20.597,17.036,6.670,1.612,178.6,26.1,189.0,215.0,215.0,0,0,far
4.008,24.8,3484,2.196,0.009,20.593,17.038,6.347,1.521,220.7,68.9,200.0,377.0,377.0,0,0,far
5.051,25.6,4101,2.035,0.069,20.480,15.941,6.373,1.662,251.6,73.7,220.0,348.0,348.0,0,0,far
6.061,25.7,3372,2.069,0.103,20.484,15.833,6.639,1.469,234.9,83.5,194.0,372.0,372.0,0,0,far
7.068,25.7,3399,2.046,0.008,20.490,15.848,6.389,1.839,203.6,33.0,202.0,262.0,262.0,0,0,far
8.082,25.7,3446,2.042,0.017,20.486,15.834,6.118,1.634,171.7,25.5,165.0,241.0,241.0,0,0,far
9.066,25.6,3434,2.046,0.010,20.476,15.834,6.225,1.565,164.3,21.5,163.0,206.0,206.0,0,0,far
10.100,25.8,3956,2.030,0.077,20.488,15.833,6.105,1.738,170.9,17.7,174.0,206.0,206.0,0,0,far
11.105,25.7,3417,2.051,0.030,20.486,15.841,6.051,1.465,157.9,19.1,163.0,186.0,186.0,0,0,far
12.141,25.7,3784,2.049,0.015,20.480,15.833,6.430,1.475,149.4,19.2,156.0,174.0,174.0,0,19,orbit
13.133,25.7,5886,2.069,0.014,20.475,15.837,7.820,1.737,156.1,16.2,159.0,178.0,187.0,0,62,orbit
14.138,25.6,3435,2.059,0.014,20.487,15.838,5.945,1.195,154.2,18.3,155.0,185.0,185.0,0,62,orbit
15.157,25.8,3724,2.032,0.117,20.478,15.835,7.107,1.813,151.7,19.1,152.0,180.0,181.0,0,63,orbit
16.168,25.7,3291,2.049,0.008,20.482,15.831,6.876,1.922,157.3,30.0,163.0,245.0,245.0,0,63,orbit
17.178,25.7,2919,2.051,0.024,20.481,15.837,6.373,1.552,182.7,29.5,173.0,248.0,248.0,0,62,orbit
18.178,25.7,2324,2.048,0.010,20.485,15.835,5.628,0.977,184.7,19.9,190.0,207.0,207.0,0,63,orbit
19.198,25.8,2930,2.025,0.109,20.483,15.832,6.437,2.267,185.7,22.1,194.0,220.0,220.0,0,63,orbit
