time_s,fps,kbps,server_ms,server_ms_std,compute_ms,render_ms,decode_ms,decode_ms_std,lat_mean_ms,lat_std_ms,lat_p50_ms,lat_p95_ms,lat_max_ms,lost,ctrl_events,phase
0.905,35.8,5200,8.400,1.995,8.050,11.454,4.753,2.503,0.0,0.0,0.0,0.0,0.0,0,0,far
1.368,36.1,4733,7.819,0.667,8.053,11.322,2.960,0.749,969.6,164.4,999.0,1215.0,1215.0,0,0,far
2.110,35.5,4721,8.295,1.241,8.054,11.342,3.622,0.987,362.9,77.1,340.0,561.0,561.0,0,0,far
3.110,36.1,4872,7.928,0.529,8.056,11.331,3.888,0.789,350.9,37.7,359.0,415.0,415.0,0,0,far
4.100,35.9,4698,8.094,0.932,8.056,11.345,3.741,0.998,328.8,32.8,319.0,394.0,394.0,0,0,far
5.115,35.5,4794,8.285,0.797,8.056,11.384,3.842,0.894,311.9,15.6,317.0,336.0,336.0,0,0,far
6.150,35.3,4942,8.474,1.123,8.058,11.346,3.857,1.382,327.2,32.5,315.0,415.0,415.0,0,0,far
7.142,35.7,4551,8.197,0.843,8.055,11.345,4.117,1.227,341.0,30.7,333.0,427.0,427.0,0,0,far
8.149,35.8,4687,8.098,0.762,8.055,11.361,3.803,0.803,344.5,19.0,343.0,388.0,388.0,0,0,far
9.185,36.0,5166,7.984,0.422,8.055,11.306,4.016,0.980,333.9,52.1,317.0,516.0,516.0,0,0,far
10.203,36.1,4630,7.956,0.363,8.056,11.313,3.842,1.001,321.9,12.4,325.0,340.0,340.0,0,0,far
11.206,35.9,4713,8.054,0.367,8.054,11.333,3.728,0.784,319.8,13.8,319.0,346.0,346.0,0,0,far
12.212,35.6,5289,8.296,0.658,8.055,11.350,3.508,0.757,312.9,12.6,314.0,330.0,341.0,0,37,orbit
13.233,35.3,6111,8.460,0.789,8.056,11.398,3.744,0.895,313.1,12.9,311.0,341.0,353.0,0,63,orbit
14.234,36.0,5019,7.940,0.346,8.056,11.418,3.670,0.499,302.5,7.5,303.0,315.0,318.0,0,62,orbit
15.242,35.7,4649,8.171,0.521,8.080,11.363,3.849,1.244,307.7,10.5,306.0,326.0,339.0,0,62,orbit
16.248,35.8,4089,8.133,0.485,8.054,11.352,4.101,1.757,307.5,15.2,307.0,342.0,360.0,0,63,orbit
17.251,35.8,3228,8.246,1.004,8.054,11.212,3.570,0.852,309.8,9.0,310.0,326.0,326.0,0,62,orbit
18.254,35.9,3618,8.088,0.322,8.055,11.316,3.522,0.821,307.3,12.0,307.0,327.0,344.0,0,62,orbit
19.273,35.4,3691,8.352,0.234,8.058,11.459,3.625,0.891,309.4,11.6,308.0,334.0,338.0,0,63,orbit
20.301,35.0,3000,8.351,0.409,8.054,11.734,3.569,1.094,307.6,10.3,306.0,331.0,344.0,0,64,orbit
21.315,34.8,3823,8.480,0.563,8.055,11.802,3.314,0.334,304.0,9.7,303.0,321.0,326.0,0,63,orbit
22.315,34.8,4520,8.508,0.494,8.053,11.745,3.652,0.975,306.8,9.3,306.0,325.0,331.0,0,61,orbit
23.313,35.0,4579,8.432,0.522,8.056,11.691,3.827,1.308,307.4,9.0,306.0,327.0,333.0,0,62,zoom_in
24.344,34.9,3953,8.356,0.398,8.056,11.851,3.609,0.861,308.5,10.9,308.0,321.0,344.0,0,64,zoom_in
25.341,34.1,3993,8.555,0.514,8.053,12.308,3.788,0.830,309.5,8.9,310.0,322.0,331.0,0,61,zoom_in
26.349,33.8,3954,8.367,0.298,8.053,12.783,3.857,1.156,306.6,10.6,307.0,329.0,329.0,0,63,zoom_in
27.378,33.0,2520,8.388,0.242,8.053,13.411,3.513,0.685,308.6,12.3,310.0,333.0,346.0,0,63,zoom_in
28.395,31.8,2800,8.850,0.640,8.059,14.123,4.057,1.726,314.3,9.8,316.0,329.0,335.0,0,64,zoom_in
29.408,30.3,3134,9.227,0.775,8.055,15.021,3.680,0.874,315.8,13.0,314.0,335.0,349.0,0,62,zoom_in
30.418,29.9,3441,8.652,0.335,8.057,16.291,3.513,1.021,311.0,13.2,310.0,337.0,342.0,0,63,zoom_in
31.444,29.3,2321,8.696,1.299,8.056,16.860,3.780,1.187,309.3,12.5,307.0,333.0,336.0,0,64,zoom_in
32.462,28.4,2436,9.044,0.458,8.056,17.573,3.263,0.812,458.7,165.2,379.0,767.0,813.0,0,63,zoom_in
33.472,27.6,2368,9.125,0.688,8.057,18.601,3.749,0.854,313.9,11.2,310.0,330.0,345.0,0,62,zoom_in
34.488,26.8,3323,9.217,0.541,8.058,19.586,3.524,1.391,321.6,20.6,317.0,353.0,399.0,0,63,zoom_in
35.517,27.1,2696,9.115,0.268,8.053,19.217,3.859,0.904,318.0,13.2,316.0,339.0,343.0,0,64,look_around
36.541,27.3,4189,9.022,0.566,8.052,19.041,4.192,0.980,315.7,12.6,314.0,340.0,350.0,0,63,look_around
37.576,26.2,4586,9.888,1.092,8.056,19.656,4.515,1.222,322.5,11.4,321.0,345.0,355.0,0,65,look_around
38.583,26.9,3089,8.842,0.821,8.057,19.688,3.742,0.725,319.2,12.1,316.0,344.0,359.0,0,62,look_around
