time_s,fps,kbps,server_ms,server_ms_std,compute_ms,render_ms,decode_ms,decode_ms_std,lat_mean_ms,lat_std_ms,lat_p50_ms,lat_p95_ms,lat_max_ms,lost,ctrl_events,phase
1.060,31.2,2468,2.081,0.235,20.481,9.495,6.301,3.430,128.6,14.8,129.0,153.0,153.0,0,0,far
2.077,30.9,2522,2.032,0.009,20.479,9.473,4.329,1.143,163.1,16.9,168.0,191.0,191.0,0,0,far
3.081,30.7,2610,2.037,0.017,20.482,9.488,4.477,1.714,180.5,27.8,179.0,229.0,229.0,0,0,far
4.088,30.8,3154,2.023,0.077,20.479,9.565,4.820,1.742,152.6,18.9,157.0,188.0,188.0,0,0,far
5.099,30.7,2645,2.055,0.089,20.484,9.502,4.549,1.131,151.1,19.4,160.0,182.0,182.0,0,0,far
6.082,30.8,2736,2.035,0.010,20.475,9.501,4.185,0.757,147.8,16.3,146.0,184.0,184.0,0,0,far
7.099,30.7,2701,2.035,0.011,20.478,9.505,4.233,0.802,150.1,18.8,149.0,187.0,187.0,0,0,far
8.113,30.8,3089,2.021,0.066,20.480,9.513,4.721,1.975,139.1,13.6,137.0,161.0,161.0,0,0,far
9.140,30.8,2786,2.037,0.007,20.475,9.580,4.602,1.710,151.1,25.1,151.0,201.0,201.0,0,0,far
10.141,30.8,2725,2.036,0.014,20.480,9.514,4.210,0.925,148.1,22.6,148.0,179.0,179.0,0,0,far
11.138,30.7,2674,2.039,0.008,20.472,9.514,4.860,1.522,139.1,13.2,139.0,167.0,167.0,0,0,far
12.131,30.8,4577,2.030,0.083,20.476,9.523,5.250,1.857,136.8,29.6,132.0,219.0,219.0,0,26,orbit
13.160,30.8,8317,2.049,0.012,20.473,9.531,8.134,3.120,139.7,16.0,142.0,163.0,164.0,0,63,orbit
14.175,30.8,9713,2.052,0.015,20.481,9.553,7.764,2.029,138.4,19.8,135.0,170.0,176.0,0,63,orbit
15.175,30.6,8611,2.046,0.013,20.473,9.571,6.953,1.273,135.6,14.3,134.0,156.0,166.0,0,62,orbit
16.183,30.8,7991,2.031,0.094,20.473,9.595,6.488,1.148,141.0,14.4,143.0,165.0,167.0,0,63,orbit
17.196,30.7,7152,2.046,0.022,20.480,9.685,6.964,2.237,136.8,19.3,133.0,168.0,174.0,0,63,orbit
18.262,30.7,6905,2.051,0.009,20.478,9.636,6.357,1.223,140.1,22.8,141.0,189.0,209.0,0,65,orbit
19.205,30.8,5571,2.045,0.009,20.476,9.587,6.068,1.020,136.8,17.5,140.0,158.0,160.0,0,59,orbit
20.189,30.8,5919,2.025,0.105,20.471,9.545,6.377,1.433,136.1,17.2,136.0,170.0,171.0,0,61,orbit
21.200,30.8,5368,2.046,0.012,20.483,9.523,6.053,1.439,130.8,18.4,127.0,160.0,176.0,0,63,orbit
22.228,30.8,4819,2.046,0.008,20.477,9.513,6.727,2.006,137.4,11.9,137.0,153.0,158.0,0,63,orbit
23.235,30.8,4598,2.046,0.009,20.470,9.508,6.203,1.314,132.6,13.6,131.0,153.0,157.0,0,63,orbit
24.240,30.9,5126,2.029,0.102,20.467,9.509,7.346,2.465,135.1,14.1,141.0,151.0,152.0,0,62,zoom_in
25.247,30.8,5179,2.047,0.010,20.475,9.575,6.106,1.221,137.0,19.4,137.0,172.0,174.0,0,62,zoom_in
26.237,30.8,5015,2.043,0.012,20.473,9.508,7.542,2.316,143.0,18.3,147.0,169.0,184.0,0,62,zoom_in
27.242,30.8,4735,2.045,0.007,20.478,9.508,9.442,1.518,135.4,16.3,134.0,165.0,168.0,0,62,zoom_in
28.263,30.8,5038,2.030,0.079,20.477,9.502,6.368,1.381,132.3,15.0,134.0,152.0,154.0,0,63,zoom_in
29.275,30.8,4610,2.044,0.009,20.473,9.497,6.333,1.446,133.2,14.2,137.0,153.0,156.0,0,63,zoom_in
30.271,30.9,4361,2.044,0.009,20.478,9.483,6.339,1.511,132.9,13.7,137.0,154.0,158.0,0,62,zoom_in
31.278,30.9,4670,2.033,0.084,20.477,9.474,6.093,1.306,133.0,15.1,130.0,160.0,160.0,0,62,zoom_in
32.275,30.9,4476,2.043,0.012,20.475,9.453,6.112,1.499,129.9,14.5,134.0,152.0,152.0,0,62,zoom_in
33.262,30.8,4478,2.040,0.008,20.484,9.498,5.997,2.074,135.6,13.6,139.0,157.0,163.0,0,61,zoom_in
34.273,30.9,3919,2.039,0.007,20.475,9.412,5.579,1.294,128.1,14.4,130.0,150.0,153.0,0,63,zoom_in
35.277,31.0,5254,2.021,0.082,20.478,9.391,6.285,1.645,138.3,20.1,133.0,169.0,185.0,0,62,look_around
36.268,31.0,9063,2.042,0.009,20.477,9.371,7.786,2.410,148.4,23.0,147.0,194.0,203.0,0,61,look_around
37.268,31.0,10935,2.042,0.010,20.480,9.361,8.292,2.772,137.5,14.1,137.0,167.0,169.0,0,62,look_around
38.289,31.0,10972,2.046,0.010,20.478,9.360,8.603,2.809,136.8,15.2,134.0,165.0,178.0,0,64,look_around
39.295,31.0,8819,2.026,0.076,20.474,9.370,8.441,3.445,141.4,19.8,139.0,177.0,193.0,0,62,look_around
40.301,31.0,7629,2.040,0.009,20.483,9.373,7.767,2.468,131.7,13.3,135.0,149.0,153.0,0,63,look_around
