time_s,fps,kbps,server_ms,server_ms_std,compute_ms,render_ms,decode_ms,decode_ms_std,lat_mean_ms,lat_std_ms,lat_p50_ms,lat_p95_ms,lat_max_ms,lost,ctrl_events,phase
1.734,3.3,1190,26.622,4.495,99.415,178.742,8.134,3.518,1646.0,26.0,1672.0,1672.0,1672.0,0,0,far
2.293,3.3,377,22.859,1.152,99.351,178.091,4.480,1.027,732.0,0.0,732.0,732.0,732.0,0,0,far
3.518,3.3,408,22.313,0.252,99.336,178.128,3.575,0.336,808.2,129.0,917.0,956.0,956.0,0,0,far
4.742,3.2,415,23.085,0.493,99.254,178.133,3.676,0.315,657.2,8.8,665.0,667.0,667.0,0,0,far
5.972,3.3,434,22.599,0.629,99.274,178.597,3.654,0.220,679.2,23.5,700.0,700.0,700.0,0,0,far
7.205,3.3,423,22.882,0.584,99.235,178.115,4.028,0.831,668.0,19.5,670.0,695.0,695.0,0,0,far
8.423,3.2,420,20.972,2.909,99.402,178.429,4.918,0.786,664.8,12.9,666.0,684.0,684.0,0,0,far
9.654,3.3,416,22.870,1.784,99.385,178.167,3.901,0.467,686.5,11.9,697.0,697.0,697.0,0,0,far
11.150,3.3,407,22.314,0.162,99.340,178.183,3.662,0.462,743.2,141.3,682.0,987.0,987.0,0,0,far
12.145,3.2,412,23.877,1.689,99.445,178.259,3.974,0.704,789.7,144.7,715.0,992.0,992.0,0,0,far
13.330,3.3,422,22.560,0.482,99.440,178.080,3.484,0.277,674.7,18.4,667.0,700.0,700.0,0,9,orbit
14.849,3.3,543,20.958,1.719,99.277,178.467,5.626,1.595,737.2,126.4,706.0,952.0,952.0,0,95,orbit
16.158,3.3,457,23.295,0.391,99.568,178.208,3.453,0.345,1233.0,71.1,1252.0,1309.0,1309.0,0,81,orbit
16.994,3.3,368,22.899,0.498,99.515,178.669,3.169,0.394,796.7,112.3,820.0,921.0,921.0,0,52,orbit
18.239,3.3,296,23.373,1.209,99.217,178.360,3.058,0.250,737.8,135.1,677.0,971.0,971.0,0,77,orbit
20.051,3.3,166,23.368,0.963,99.164,178.307,2.839,0.237,1257.5,347.1,1501.0,1556.0,1556.0,0,112,orbit
20.675,3.2,101,22.403,0.607,99.212,178.036,3.029,0.282,1468.0,0.0,1468.0,1468.0,1468.0,0,39,orbit
21.914,3.3,163,23.302,1.469,99.389,179.316,3.481,0.853,711.0,130.5,640.0,937.0,937.0,0,77,orbit
23.140,3.2,145,22.346,0.739,99.412,179.381,3.256,0.558,625.5,5.9,630.0,632.0,632.0,0,76,orbit
24.390,3.3,174,22.672,0.839,99.223,179.860,3.327,0.612,743.3,139.3,654.0,940.0,940.0,0,78,orbit
25.901,3.3,320,23.413,0.702,99.255,179.589,3.551,0.476,716.2,134.1,652.0,948.0,948.0,0,93,zoom_in
26.838,3.2,267,20.549,2.393,99.358,180.312,3.844,0.852,819.8,143.7,916.0,994.0,994.0,0,59,zoom_in
28.063,3.2,233,22.297,0.763,99.496,181.342,3.072,0.266,731.0,140.7,634.0,930.0,930.0,0,76,zoom_in
29.656,3.2,317,22.763,1.030,99.443,183.585,3.932,0.753,726.2,150.6,646.0,987.0,987.0,0,99,zoom_in
30.592,3.1,283,22.964,0.654,99.185,184.912,3.106,0.289,875.7,112.0,934.0,974.0,974.0,0,58,zoom_in
31.856,3.2,320,23.225,0.669,99.396,188.278,3.394,0.222,762.7,155.1,658.0,982.0,982.0,0,78,zoom_in
33.158,3.1,346,24.487,1.763,99.412,190.296,4.117,1.165,668.5,5.0,669.0,676.0,676.0,0,81,zoom_in
34.434,3.1,338,22.836,0.706,99.434,192.152,3.529,0.244,659.2,10.3,658.0,676.0,676.0,0,80,zoom_in
35.727,3.1,351,23.286,0.624,99.445,194.412,4.000,0.596,663.5,6.0,667.0,670.0,670.0,0,80,zoom_in
37.018,3.1,339,23.535,0.855,99.414,194.388,3.972,0.251,672.8,12.7,674.0,693.0,693.0,0,80,look_around
38.483,3.1,889,23.141,0.409,99.445,193.958,4.940,2.201,1218.0,127.4,1164.0,1437.0,1437.0,0,91,look_around
39.956,3.1,292,23.169,0.473,99.511,194.884,3.400,0.313,850.7,144.1,849.0,1028.0,1028.0,0,91,look_around
40.635,2.9,320,22.903,0.408,99.281,194.834,4.279,0.778,784.0,106.2,749.0,928.0,928.0,0,42,look_around
41.965,3.0,339,23.422,0.198,99.470,194.744,3.372,0.267,663.5,3.4,665.0,667.0,667.0,0,82,look_around
43.253,3.1,351,22.806,0.564,99.488,192.761,3.615,0.392,828.8,147.3,940.0,1008.0,1008.0,0,80,look_around
44.536,3.1,377,23.415,0.526,99.423,191.595,4.142,1.000,671.5,13.2,672.0,691.0,691.0,0,79,look_around
45.810,3.1,349,23.320,0.880,99.418,194.216,4.057,1.071,668.5,5.3,669.0,676.0,676.0,0,79,look_around
47.120,3.1,349,23.369,0.691,99.408,194.295,3.757,0.823,672.0,14.5,686.0,687.0,687.0,0,81,look_around
48.428,3.1,353,23.501,0.458,99.574,194.786,3.629,0.254,674.5,17.7,687.0,696.0,696.0,0,55,inside
49.699,3.1,222,23.475,0.550,99.412,194.617,2.845,0.230,696.5,26.9,703.0,734.0,734.0,0,0,inside
50.984,3.1,194,21.974,2.575,99.434,194.391,3.961,1.790,666.8,17.7,667.0,694.0,694.0,0,0,inside
52.264,3.1,190,20.594,2.151,99.485,194.030,3.113,0.237,667.2,15.8,677.0,688.0,688.0,0,0,inside
53.855,3.1,176,20.854,2.497,99.495,194.138,3.720,0.581,744.0,132.3,682.0,972.0,972.0,0,0,inside
55.131,3.1,183,22.078,2.366,99.411,194.268,3.080,0.061,1139.3,258.2,1165.0,1442.0,1442.0,0,0,inside
56.126,3.1,221,23.752,0.519,99.398,194.266,3.694,0.742,687.0,26.0,713.0,713.0,713.0,0,0,inside
57.435,3.1,216,23.716,1.714,99.490,194.014,3.492,0.499,665.2,22.5,674.0,697.0,697.0,0,0,inside
58.723,3.1,219,22.824,0.638,99.567,194.081,3.283,0.236,675.5,14.4,680.0,697.0,697.0,0,0,inside
