time_s,fps,kbps,server_ms,server_ms_std,compute_ms,render_ms,decode_ms,decode_ms_std,lat_mean_ms,lat_std_ms,lat_p50_ms,lat_p95_ms,lat_max_ms,lost,ctrl_events,phase
1.117,3.4,308,24.552,4.145,99.189,172.038,9.507,2.140,696.0,0.0,696.0,696.0,696.0,0,0,far
2.295,3.4,281,20.020,2.354,99.131,171.299,6.036,1.284,690.0,20.9,687.0,725.0,725.0,0,0,far
3.505,3.3,295,21.417,1.710,99.173,171.854,4.324,0.496,692.2,23.2,701.0,726.0,726.0,0,0,far
4.704,3.3,320,22.762,1.801,99.173,172.110,5.782,2.175,695.8,5.4,701.0,701.0,701.0,0,0,far
5.889,3.4,337,20.779,2.442,99.204,171.715,4.509,0.785,707.5,33.7,726.0,753.0,753.0,0,0,far
7.071,3.4,340,19.554,3.804,99.454,172.201,3.750,0.495,696.5,24.0,706.0,719.0,719.0,0,0,far
8.281,3.3,337,22.110,0.413,99.306,172.254,4.269,1.157,710.0,23.1,705.0,749.0,749.0,0,0,far
9.478,3.4,361,22.696,1.419,99.035,171.684,4.428,0.741,695.5,19.9,694.0,727.0,727.0,0,0,far
10.703,3.3,359,22.675,1.005,99.292,172.166,4.277,0.483,729.2,21.7,743.0,752.0,752.0,0,0,far
11.898,3.4,377,22.256,0.570,99.070,172.313,4.272,0.849,705.0,26.1,727.0,733.0,733.0,0,0,far
13.197,3.3,566,22.492,0.545,99.113,171.469,4.767,0.848,736.2,22.8,749.0,753.0,753.0,0,69,orbit
14.313,3.3,764,22.662,0.491,99.133,172.411,4.777,0.665,698.5,18.4,706.0,723.0,723.0,0,69,orbit
15.525,3.3,922,23.417,0.490,99.280,173.157,4.483,1.272,707.2,16.0,721.0,725.0,725.0,0,76,orbit
16.721,3.3,869,22.711,0.306,99.353,172.215,5.001,1.481,709.0,14.5,714.0,724.0,724.0,0,74,orbit
18.005,3.3,778,23.569,0.483,99.210,173.082,4.553,0.791,785.5,111.4,760.0,974.0,974.0,0,80,orbit
19.356,3.3,688,22.989,0.158,99.424,173.316,5.266,0.999,800.5,136.1,918.0,954.0,954.0,0,83,orbit
20.278,3.4,563,21.188,2.684,99.238,171.876,4.986,0.949,711.5,108.5,660.0,899.0,899.0,0,58,orbit
21.481,3.3,655,21.062,2.572,99.313,172.414,4.098,0.425,641.8,19.1,648.0,666.0,666.0,0,74,orbit
22.686,3.3,692,23.130,0.785,99.262,172.247,5.507,0.654,658.0,14.3,671.0,672.0,672.0,0,75,orbit
23.888,3.3,630,23.129,0.918,99.278,171.170,4.453,0.812,654.2,15.2,658.0,672.0,672.0,0,75,zoom_in
25.081,3.4,717,20.502,2.036,99.274,171.906,4.126,0.485,657.8,16.8,672.0,677.0,677.0,0,74,zoom_in
26.321,3.3,868,23.317,0.652,99.470,172.089,5.187,0.660,666.0,16.0,666.0,690.0,690.0,0,77,zoom_in
27.512,3.3,932,23.686,0.481,99.452,170.898,4.202,0.297,678.5,11.8,684.0,695.0,695.0,0,74,zoom_in
