time_s,fps,kbps,server_ms,server_ms_std,compute_ms,render_ms,decode_ms,decode_ms_std,lat_mean_ms,lat_std_ms,lat_p50_ms,lat_p95_ms,lat_max_ms,lost,ctrl_events,phase
1.184,5.3,3656,2.686,1.245,125.146,59.129,18.225,9.487,373.8,51.4,377.0,463.0,463.0,0,0,far
2.307,5.3,1168,2.089,0.015,125.110,58.856,7.501,0.772,318.5,7.6,323.0,328.0,328.0,0,0,far
3.444,5.3,872,2.109,0.057,125.095,58.946,7.905,0.716,330.3,27.1,338.0,356.0,356.0,0,0,far
4.564,5.3,849,2.071,0.024,125.093,58.808,7.291,1.180,309.8,19.6,318.0,326.0,326.0,0,0,far
5.701,5.3,707,2.069,0.009,125.090,58.669,6.635,0.961,343.7,41.1,326.0,432.0,432.0,0,0,far
6.849,5.3,737,2.093,0.054,125.114,58.800,6.935,1.566,322.2,10.8,324.0,339.0,339.0,0,0,far
7.955,5.3,684,2.078,0.018,125.103,58.672,6.719,1.143,323.2,19.9,321.0,363.0,363.0,0,0,far
9.082,5.3,688,2.075,0.006,125.128,58.602,6.545,0.527,328.7,13.0,333.0,348.0,348.0,0,0,far
10.229,5.3,682,2.080,0.013,125.076,58.603,6.990,0.856,324.3,35.1,332.0,363.0,363.0,0,0,far
11.356,5.3,688,2.103,0.038,125.114,58.838,6.352,0.456,330.8,19.2,326.0,365.0,365.0,0,0,far
12.481,5.3,718,2.062,0.020,125.129,58.658,6.566,0.545,362.8,23.6,372.0,388.0,388.0,0,26,orbit
13.602,5.3,815,2.089,0.010,125.076,58.640,6.155,0.631,445.2,104.2,374.0,600.0,600.0,0,70,orbit
14.765,5.3,626,2.082,0.010,125.060,58.651,6.411,0.904,364.2,37.4,362.0,423.0,423.0,0,72,orbit
15.864,5.3,478,2.115,0.040,125.108,58.685,5.901,0.839,333.7,29.2,340.0,367.0,367.0,0,68,orbit
16.994,5.3,286,2.070,0.027,125.091,58.464,4.469,0.330,331.2,17.7,343.0,348.0,348.0,0,70,orbit
18.129,5.3,160,2.063,0.020,125.117,58.516,4.714,0.994,276.0,18.4,276.0,309.0,309.0,0,71,orbit
19.241,5.3,302,2.067,0.023,125.121,58.585,4.486,0.636,281.7,32.6,263.0,333.0,333.0,0,68,orbit
20.361,5.3,405,2.083,0.010,125.103,58.515,5.305,0.506,313.3,34.9,325.0,346.0,346.0,0,70,orbit
21.493,5.3,455,2.085,0.012,125.071,58.652,7.760,1.627,317.8,9.4,320.0,333.0,333.0,0,70,orbit
22.619,5.3,382,2.079,0.018,125.109,58.553,5.387,0.350,301.0,16.3,304.0,322.0,322.0,0,69,orbit
23.752,5.3,1057,2.027,0.157,125.126,58.626,7.428,2.688,320.3,8.8,326.0,331.0,331.0,0,70,zoom_in
24.860,5.3,392,2.160,0.170,125.119,58.588,7.455,3.408,296.0,28.0,315.0,319.0,319.0,0,69,zoom_in
26.044,5.3,492,2.077,0.013,125.094,58.769,6.500,1.097,307.2,18.7,316.0,326.0,326.0,0,73,zoom_in
27.140,5.3,559,2.097,0.021,125.099,58.791,6.617,0.424,311.8,11.7,311.0,335.0,335.0,0,68,zoom_in
28.250,5.3,509,2.089,0.011,125.079,58.946,6.701,0.250,302.7,17.9,308.0,319.0,319.0,0,69,zoom_in
29.379,5.3,594,2.106,0.014,125.097,59.085,7.408,0.962,315.3,13.7,319.0,341.0,341.0,0,70,zoom_in
30.474,5.3,689,2.160,0.021,125.126,59.252,7.691,0.819,302.3,16.6,308.0,315.0,315.0,0,68,zoom_in
31.639,5.3,674,2.185,0.027,125.113,59.422,8.338,1.062,301.8,19.7,309.0,321.0,321.0,0,72,zoom_in
32.783,5.3,704,2.225,0.022,125.064,59.594,8.095,0.266,324.2,14.9,320.0,356.0,356.0,0,71,zoom_in
33.925,5.3,822,2.306,0.039,125.104,59.851,11.533,2.486,314.7,15.5,318.0,332.0,332.0,0,71,zoom_in
35.071,5.3,863,2.344,0.015,125.104,59.768,9.703,2.000,317.0,11.2,319.0,336.0,336.0,0,71,zoom_in
36.195,5.3,973,2.376,0.005,125.095,59.765,9.100,0.988,320.5,6.4,319.0,330.0,330.0,0,69,look_around
37.340,5.3,777,2.348,0.012,125.075,59.792,8.126,1.744,304.7,28.0,320.0,333.0,333.0,0,71,look_around
38.464,5.3,878,2.345,0.010,125.110,59.823,8.045,0.571,305.8,25.2,325.0,330.0,330.0,0,70,look_around
39.608,5.3,830,2.375,0.017,125.075,59.689,8.375,0.451,320.3,21.8,332.0,342.0,342.0,0,71,look_around
40.722,5.3,739,2.360,0.014,125.079,59.744,7.923,0.465,308.2,27.3,317.0,336.0,336.0,0,69,look_around
41.880,5.3,811,2.262,0.012,125.121,59.600,7.971,0.467,320.7,9.2,327.0,329.0,329.0,0,72,look_around
42.994,5.3,719,2.229,0.037,125.103,59.471,7.330,0.673,309.5,7.5,310.0,320.0,320.0,0,69,look_around
44.126,5.3,849,2.309,0.033,125.092,59.756,9.275,0.945,316.0,10.5,315.0,338.0,338.0,0,70,look_around
45.258,5.3,593,2.365,0.009,125.146,59.818,7.388,0.428,320.8,16.6,316.0,354.0,354.0,0,70,look_around
46.504,5.3,1019,2.368,0.024,125.154,59.827,9.070,1.961,331.2,47.4,323.0,423.0,423.0,0,77,look_around
47.533,5.3,552,2.369,0.013,125.117,59.743,8.426,1.533,362.3,56.8,355.0,445.0,445.0,0,26,inside
48.665,5.3,329,2.354,0.009,125.099,59.792,5.940,0.830,322.5,35.1,338.0,353.0,353.0,0,0,inside
49.809,5.3,402,2.341,0.017,125.099,59.650,7.614,1.458,335.3,22.9,347.0,363.0,363.0,0,0,inside
50.947,5.3,486,2.347,0.009,125.067,59.734,7.461,1.430,322.0,16.5,323.0,348.0,348.0,0,0,inside
52.069,5.3,489,2.354,0.004,125.162,59.682,6.268,0.223,300.0,21.7,313.0,330.0,330.0,0,0,inside
53.221,5.3,476,2.352,0.014,125.064,59.743,6.430,0.255,292.3,18.6,292.0,321.0,321.0,0,0,inside
54.361,5.3,489,2.358,0.009,125.107,59.777,6.428,0.171,278.8,19.4,283.0,311.0,311.0,0,0,inside
55.478,5.3,491,2.349,0.007,125.102,59.693,8.024,2.226,288.8,17.4,304.0,307.0,307.0,0,0,inside
56.614,5.3,488,2.351,0.007,125.101,59.682,6.412,0.356,284.3,17.8,295.0,311.0,311.0,0,0,inside
57.740,5.3,484,2.346,0.011,125.128,59.619,6.469,0.411,312.8,27.0,309.0,347.0,347.0,0,0,inside
