time_s,fps,kbps,server_ms,server_ms_std,compute_ms,render_ms,decode_ms,decode_ms_std,lat_mean_ms,lat_std_ms,lat_p50_ms,lat_p95_ms,lat_max_ms,lost,ctrl_events,phase
1.010,4.4,393,16.674,12.207,71.856,136.736,6.299,2.469,639.0,87.2,599.0,760.0,760.0,0,0,far
2.094,4.5,374,8.668,0.756,71.925,136.750,3.141,0.169,553.8,37.3,539.0,602.0,602.0,0,0,far
3.243,4.4,409,12.583,5.788,71.918,136.741,3.333,0.400,559.2,10.3,564.0,567.0,567.0,0,0,far
4.361,4.4,426,12.489,4.610,71.905,136.897,3.461,0.310,557.2,25.7,546.0,601.0,601.0,0,0,far
5.480,4.5,438,8.651,0.651,71.923,136.717,3.621,0.280,555.6,18.0,555.0,581.0,581.0,0,0,far
6.604,4.4,455,12.993,6.218,71.905,136.790,3.416,0.740,556.0,8.2,556.0,567.0,567.0,0,0,far
7.724,4.5,466,10.940,5.252,71.900,136.727,3.421,0.586,550.6,6.1,551.0,557.0,557.0,0,0,far
8.835,4.5,476,10.630,5.779,71.952,136.661,3.732,0.932,552.2,6.9,552.0,560.0,560.0,0,0,far
9.937,4.5,492,9.270,1.709,71.911,136.694,3.173,0.301,567.6,18.5,557.0,598.0,598.0,0,0,far
11.301,4.4,468,12.616,4.769,71.921,136.739,3.517,0.327,606.0,89.1,563.0,784.0,784.0,0,0,far
12.185,4.5,503,9.555,2.722,71.910,136.740,4.199,1.110,676.8,101.5,668.0,833.0,833.0,0,12,orbit
13.301,4.5,970,8.619,0.399,71.928,136.573,4.309,1.304,568.6,19.0,574.0,593.0,593.0,0,69,orbit
14.444,4.5,1110,9.167,0.456,71.964,136.668,3.806,0.716,539.0,12.9,535.0,563.0,563.0,0,70,orbit
15.538,4.4,1270,11.785,5.338,71.923,136.682,5.296,1.556,544.8,10.2,545.0,559.0,559.0,0,68,orbit
16.659,4.4,1204,12.717,5.477,71.960,136.887,3.867,0.561,533.6,5.3,532.0,541.0,541.0,0,69,orbit
17.770,4.5,1068,9.828,1.481,71.934,136.838,4.438,0.771,531.6,6.7,532.0,539.0,539.0,0,69,orbit
18.874,4.5,971,9.928,2.205,71.958,135.282,4.013,0.049,516.2,4.5,514.0,523.0,523.0,0,68,orbit
19.954,4.6,746,8.153,0.904,71.939,131.454,3.366,0.261,502.0,8.1,505.0,512.0,512.0,0,67,orbit
21.012,4.7,873,8.480,1.168,71.959,127.825,3.736,0.880,504.6,5.7,501.0,513.0,513.0,0,65,orbit
22.059,4.8,932,8.392,1.295,71.979,124.948,3.527,0.467,506.2,4.6,507.0,511.0,511.0,0,66,orbit
23.086,4.8,904,8.945,1.511,71.942,122.963,4.062,1.239,500.4,6.5,500.0,510.0,510.0,0,63,orbit
24.123,4.9,926,8.546,1.026,71.994,121.949,4.029,0.721,503.8,8.1,503.0,516.0,516.0,0,65,zoom_in
25.150,4.9,981,8.294,0.841,71.958,121.201,3.968,0.349,497.8,9.3,496.0,514.0,514.0,0,64,zoom_in
26.221,4.9,1268,11.140,3.327,71.941,119.924,3.710,0.360,529.6,14.3,528.0,556.0,556.0,0,66,zoom_in
27.202,4.9,1580,10.403,2.760,71.941,118.173,4.069,0.505,518.2,20.8,514.0,554.0,554.0,0,61,zoom_in
28.394,5.0,1420,7.867,0.129,71.952,115.269,3.919,0.243,501.8,6.7,506.0,511.0,511.0,0,74,zoom_in
29.564,5.1,1594,8.030,0.059,71.920,111.953,4.301,0.923,508.2,11.5,516.0,522.0,522.0,0,73,zoom_in
30.711,5.2,1797,8.788,0.959,71.966,108.451,5.268,0.840,515.0,16.6,514.0,548.0,548.0,0,71,zoom_in
31.829,5.3,1181,9.502,1.975,71.952,104.063,3.759,0.786,491.8,8.5,491.0,503.0,503.0,0,69,zoom_in
32.923,5.5,1309,8.321,0.200,71.980,98.574,4.298,0.859,483.7,5.4,485.0,493.0,493.0,0,67,zoom_in
33.975,5.7,1619,8.718,0.400,71.939,93.592,4.571,0.758,485.5,6.4,487.0,494.0,494.0,0,66,zoom_in
35.005,5.8,999,8.241,0.250,71.954,90.052,3.520,0.220,475.8,21.4,475.0,519.0,519.0,0,64,zoom_in
36.000,5.9,722,7.974,0.458,71.987,86.250,3.699,0.759,466.2,16.9,478.0,484.0,484.0,0,61,look_around
37.185,6.1,2166,8.685,1.002,71.956,81.534,6.161,2.122,557.0,26.8,558.0,587.0,587.0,0,74,look_around
38.304,6.2,2698,8.945,0.287,71.997,78.598,6.434,1.995,533.4,35.4,545.0,577.0,577.0,0,69,look_around
39.420,6.1,1679,8.719,0.357,72.007,80.693,4.402,0.431,476.0,29.6,470.0,545.0,545.0,0,69,look_around
40.430,6.0,719,8.017,0.192,71.980,84.712,3.232,0.507,447.0,10.3,445.0,465.0,465.0,0,63,look_around
41.585,6.1,1861,8.959,1.017,71.982,81.152,4.945,0.701,464.3,6.6,464.0,479.0,479.0,0,71,look_around
42.704,6.2,2014,9.270,0.270,71.980,77.948,6.132,2.023,471.7,11.4,473.0,490.0,490.0,0,69,look_around
43.876,6.1,1406,8.870,0.257,71.964,80.916,4.486,0.910,604.5,141.9,572.0,860.0,860.0,0,73,look_around
44.865,5.8,495,7.880,0.388,71.999,85.389,3.326,0.298,442.8,6.2,443.0,454.0,454.0,0,61,look_around
