time_s,fps,kbps,server_ms,server_ms_std,compute_ms,render_ms,decode_ms,decode_ms_std,lat_mean_ms,lat_std_ms,lat_p50_ms,lat_p95_ms,lat_max_ms,lost,ctrl_events,phase
4.877,0.2,294,20.746,0.000,0.650,3981.764,18.796,0.000,0.0,0.0,0.0,0.0,0.0,0,0,idle
7.987,0.2,31,15.862,0.000,0.801,3985.574,7.089,0.000,4289.0,0.0,4289.0,4289.0,4289.0,0,0,far
12.015,0.2,4,16.870,0.000,0.803,3985.481,4.633,0.000,4327.0,0.0,4327.0,4327.0,4327.0,0,0,far
16.039,0.2,29,16.635,0.000,0.791,3985.506,4.038,0.000,4314.0,0.0,4314.0,4314.0,4314.0,0,0,far
20.072,0.2,30,15.787,0.000,0.794,3985.766,3.231,0.000,4282.0,0.0,4282.0,4282.0,4282.0,0,221,orbit
24.094,0.2,64,17.816,0.000,0.811,3959.598,4.628,0.000,4312.0,0.0,4312.0,4312.0,4312.0,0,249,orbit
27.825,0.3,15,18.467,0.000,0.795,3701.629,3.119,0.000,4019.0,0.0,4019.0,4019.0,4019.0,0,231,orbit
31.417,0.3,8,16.658,0.000,0.789,3561.452,2.961,0.000,4008.0,0.0,4008.0,4008.0,4008.0,0,223,zoom_in
36.784,0.2,14,17.527,0.000,0.785,5144.265,3.325,0.000,5446.0,0.0,5446.0,5446.0,5446.0,0,332,zoom_in
44.297,0.1,32,18.787,0.000,0.809,7400.174,4.226,0.000,7780.0,0.0,7780.0,7780.0,7780.0,0,465,look_around
51.506,0.1,29,15.873,0.000,0.800,7218.557,4.033,0.000,7534.0,0.0,7534.0,7534.0,7534.0,0,439,inside
58.286,0.1,29,18.626,0.000,0.798,6745.861,4.363,0.000,7049.0,0.0,7049.0,7049.0,7049.0,0,0,inside
