time_s,fps,kbps,server_ms,server_ms_std,compute_ms,render_ms,decode_ms,decode_ms_std,lat_mean_ms,lat_std_ms,lat_p50_ms,lat_p95_ms,lat_max_ms,lost,ctrl_events,phase
1.559,23.6,3753,11.497,3.770,0.746,30.095,5.844,2.688,1257.5,16.5,1274.0,1274.0,1274.0,0,0,far
2.030,25.0,3219,10.517,2.425,0.748,27.636,3.247,1.074,706.9,197.1,753.0,966.0,966.0,0,0,far
3.063,24.5,3176,10.854,2.124,0.752,28.175,4.636,1.287,307.7,26.9,305.0,383.0,383.0,0,0,far
4.081,24.3,3141,11.373,3.119,0.754,27.748,4.896,1.140,326.2,29.4,326.0,375.0,375.0,0,0,far
5.089,23.9,3510,11.050,1.986,0.751,28.832,4.912,1.049,335.4,32.2,329.0,397.0,397.0,0,0,far
6.106,25.4,3085,11.099,2.006,0.750,26.317,4.674,0.862,314.3,12.0,311.0,340.0,340.0,0,0,far
7.133,25.7,3231,10.874,2.051,0.750,26.294,4.577,0.828,310.0,23.5,305.0,387.0,387.0,0,0,far
8.224,22.7,2934,11.475,2.573,0.751,30.419,4.609,0.975,325.3,28.7,319.0,409.0,409.0,0,0,far
9.226,24.0,3216,10.983,2.232,0.751,28.951,4.848,0.966,319.1,20.9,314.0,366.0,366.0,0,0,far
10.237,24.6,3569,10.755,2.267,0.751,28.076,4.749,1.111,329.3,27.0,316.0,386.0,386.0,0,0,far
11.256,25.8,3249,10.555,1.787,0.752,26.450,4.663,0.988,318.5,19.9,317.0,373.0,373.0,0,0,far
12.265,25.7,3439,10.144,1.259,0.749,26.566,4.486,1.188,326.8,25.2,325.0,400.0,400.0,0,0,far
13.555,24.4,3501,10.632,2.294,0.749,28.262,5.074,1.108,451.4,175.1,356.0,802.0,802.0,0,58,orbit
14.385,23.7,3542,11.075,2.808,0.748,29.388,4.412,0.827,352.6,66.2,328.0,535.0,535.0,0,52,orbit
15.390,24.8,3564,11.031,2.478,0.748,27.535,5.145,1.120,318.6,23.3,313.0,379.0,387.0,0,62,orbit
16.403,23.8,2627,12.789,4.076,0.764,27.325,4.087,0.671,311.6,24.7,306.0,372.0,379.0,0,63,orbit
17.424,24.3,2340,11.837,3.129,0.752,27.175,4.316,0.756,310.4,21.4,308.0,371.0,373.0,0,63,orbit
18.457,24.9,2742,11.119,2.340,0.750,27.210,4.679,0.766,317.9,24.9,311.0,376.0,378.0,0,64,orbit
19.513,24.3,2658,11.943,3.676,0.758,27.444,4.910,1.048,319.9,27.1,311.0,365.0,405.0,0,66,orbit
20.456,21.0,2682,11.909,4.077,0.755,31.133,4.415,1.182,346.3,43.0,330.0,447.0,447.0,0,58,orbit
21.475,23.8,2549,11.499,2.721,0.761,28.650,4.554,0.801,312.9,24.3,304.0,364.0,376.0,0,64,orbit
22.485,24.6,2600,10.983,2.141,0.751,27.693,4.296,1.009,314.8,23.5,309.0,374.0,387.0,0,62,orbit
23.496,24.6,2589,11.232,3.311,0.752,27.405,4.433,1.208,315.4,29.9,306.0,382.0,411.0,0,63,orbit
24.526,25.3,2760,11.294,3.042,0.753,26.422,4.625,0.723,317.8,27.1,311.0,387.0,401.0,0,64,zoom_in
25.541,24.6,3154,11.301,3.335,0.752,27.529,4.386,1.263,311.1,26.3,303.0,375.0,393.0,0,63,zoom_in
26.571,23.3,2353,11.454,3.508,0.752,29.489,4.516,1.098,310.6,28.0,300.0,371.0,385.0,0,64,zoom_in
27.603,22.3,1398,11.926,3.303,0.754,31.060,3.420,0.817,442.6,150.9,447.0,767.0,767.0,0,64,zoom_in
28.632,21.4,1814,11.421,2.676,0.750,33.313,4.949,1.139,321.7,27.1,312.0,382.0,393.0,0,64,zoom_in
29.737,19.8,1969,11.611,2.270,0.750,36.825,5.379,1.645,319.4,24.2,315.0,396.0,396.0,0,69,zoom_in
30.713,18.6,2687,12.317,2.665,0.753,36.928,4.919,1.194,324.8,34.4,314.0,431.0,431.0,0,60,zoom_in
31.731,17.6,1737,13.660,2.618,0.753,40.786,4.747,1.127,333.6,26.4,327.0,413.0,413.0,0,63,zoom_in
32.781,17.3,1724,14.804,3.189,0.755,40.987,4.866,0.741,332.7,25.9,332.0,407.0,407.0,0,65,zoom_in
33.864,15.6,1659,14.412,2.766,0.751,47.128,4.943,0.997,338.4,28.2,324.0,408.0,408.0,0,68,zoom_in
34.874,15.8,1716,14.621,3.489,0.757,46.185,5.034,1.279,331.2,22.3,323.0,384.0,384.0,0,62,zoom_in
35.879,15.9,1467,15.295,3.141,0.752,45.160,4.662,1.488,367.9,75.5,339.0,578.0,578.0,0,62,look_around
36.905,17.7,2035,13.274,2.118,0.754,41.164,5.189,0.881,334.7,24.2,329.0,401.0,401.0,0,64,look_around
37.945,17.6,3900,13.086,1.807,0.752,41.553,5.515,1.522,334.3,33.2,320.0,442.0,442.0,0,64,look_around
38.973,15.2,3203,13.567,1.804,0.753,48.217,7.480,1.287,341.4,26.4,334.0,412.0,412.0,0,64,look_around
40.041,16.2,2219,13.392,2.191,0.753,45.919,5.446,0.989,335.6,26.0,327.0,402.0,402.0,0,66,look_around
41.033,15.8,1738,14.269,2.505,0.751,46.686,4.531,0.556,333.8,26.9,326.0,405.0,405.0,0,62,look_around
42.042,15.9,1801,15.445,3.346,0.752,45.354,4.430,0.907,341.3,35.1,334.0,440.0,440.0,0,63,look_around
43.423,17.9,2509,12.838,2.780,0.752,40.896,4.906,1.641,363.5,88.4,340.0,707.0,707.0,0,85,look_around
44.092,14.3,1520,12.785,1.425,0.753,46.450,4.298,0.783,468.9,160.4,443.0,756.0,756.0,0,42,look_around
45.168,15.3,2533,13.504,2.213,0.752,49.723,4.799,1.250,390.1,63.9,362.0,560.0,560.0,0,67,look_around
46.180,16.4,1701,15.021,2.936,0.753,43.987,4.369,0.928,339.5,31.8,327.0,428.0,428.0,0,62,look_around
47.204,14.7,1476,17.201,2.899,0.764,48.590,3.667,0.782,571.6,159.2,584.0,839.0,839.0,0,64,look_around
48.247,15.3,1357,16.203,2.465,0.753,46.620,4.383,0.927,335.1,26.8,324.0,412.0,412.0,0,14,inside
49.271,16.7,697,14.815,2.975,0.755,42.807,4.125,0.997,330.5,21.0,334.0,391.0,391.0,0,0,inside
50.384,15.2,1040,16.150,2.430,0.757,47.189,4.824,1.248,353.5,31.8,348.0,423.0,423.0,0,0,inside
