time_s,fps,kbps,server_ms,server_ms_std,compute_ms,render_ms,decode_ms,decode_ms_std,lat_mean_ms,lat_std_ms,lat_p50_ms,lat_p95_ms,lat_max_ms,lost,ctrl_events,phase
0.940,3.0,662,18.871,1.964,0.724,314.111,8.268,3.828,824.0,0.0,824.0,824.0,824.0,0,0,far
1.898,2.9,428,15.731,3.316,0.763,313.798,5.572,1.712,686.0,16.0,702.0,702.0,702.0,0,0,far
2.905,2.9,382,16.804,0.930,0.757,313.863,4.582,0.284,653.7,13.6,659.0,667.0,667.0,0,0,far
3.903,3.0,378,16.054,1.365,0.755,313.820,5.077,0.795,666.7,12.5,670.0,680.0,680.0,0,0,far
4.935,2.9,412,17.552,1.110,0.759,313.867,4.612,0.176,643.0,17.1,643.0,664.0,664.0,0,0,far
5.974,2.9,369,17.881,0.898,0.768,315.634,5.371,0.619,646.7,19.4,640.0,673.0,673.0,0,0,far
6.982,2.9,374,18.850,0.427,0.750,313.827,4.182,0.377,673.0,13.6,680.0,685.0,685.0,0,0,far
8.001,2.9,378,17.634,1.509,0.760,313.945,3.800,0.280,673.3,13.0,681.0,684.0,684.0,0,0,far
9.020,2.9,386,16.804,2.738,0.752,313.885,3.971,0.414,637.7,6.9,638.0,646.0,646.0,0,0,far
10.046,3.0,416,15.766,1.129,0.751,313.833,4.195,0.788,657.0,15.9,658.0,676.0,676.0,0,0,far
11.078,2.9,402,16.526,0.324,0.754,313.687,4.783,0.976,665.0,15.1,666.0,683.0,683.0,0,0,far
12.088,3.0,384,14.701,0.709,0.757,313.747,5.457,0.202,654.7,20.5,652.0,681.0,681.0,0,0,far
13.121,2.9,374,18.579,3.659,0.756,313.866,4.904,0.665,674.3,11.4,670.0,690.0,690.0,0,46,orbit
14.154,2.9,415,24.165,7.066,0.757,313.762,4.456,0.554,650.3,6.6,655.0,655.0,655.0,0,64,orbit
15.189,2.9,437,18.765,0.116,0.755,313.567,4.873,1.348,631.3,2.9,631.0,635.0,635.0,0,65,orbit
16.200,2.9,356,18.458,0.850,0.752,313.154,3.846,0.404,627.0,7.3,627.0,636.0,636.0,0,62,orbit
17.222,2.9,406,17.570,1.119,0.759,313.574,3.811,0.263,632.0,2.9,633.0,635.0,635.0,0,64,orbit
18.247,2.9,399,17.793,1.182,0.750,313.488,4.511,0.772,626.3,2.1,626.0,629.0,629.0,0,64,orbit
19.279,2.9,414,19.604,0.614,0.760,313.366,4.163,0.404,629.3,2.5,630.0,632.0,632.0,0,64,orbit
20.300,3.0,373,15.506,2.299,0.753,313.478,5.061,0.497,630.0,16.5,622.0,653.0,653.0,0,63,orbit
21.310,2.9,377,17.584,0.377,0.750,313.091,4.379,0.666,623.3,5.4,620.0,631.0,631.0,0,63,orbit
22.647,3.0,366,10.429,0.158,0.756,313.218,4.062,0.662,637.5,14.5,649.0,650.0,650.0,0,83,orbit
23.957,3.0,401,10.778,0.703,0.756,313.146,5.016,0.699,667.2,48.4,680.0,741.0,741.0,0,81,orbit
24.964,3.0,432,10.846,0.394,0.760,313.382,4.584,0.964,717.7,53.5,755.0,756.0,756.0,0,62,zoom_in
25.989,3.0,418,11.347,0.550,0.750,313.620,5.356,0.331,742.3,45.1,767.0,781.0,781.0,0,64,zoom_in
26.970,3.0,444,10.491,0.185,0.755,314.273,5.568,0.778,660.0,9.6,657.0,673.0,673.0,0,61,zoom_in
28.293,3.0,469,10.973,0.936,0.758,314.305,4.221,0.788,645.5,15.7,658.0,659.0,659.0,0,82,zoom_in
29.597,3.1,463,10.600,0.785,0.756,309.427,4.082,1.009,673.8,44.5,677.0,745.0,745.0,0,81,zoom_in
30.851,3.2,514,10.526,0.705,0.754,292.591,4.182,0.358,623.2,9.2,628.0,636.0,636.0,0,78,zoom_in
31.981,3.5,604,11.281,0.241,0.750,264.996,5.594,1.337,597.5,5.9,600.0,606.0,606.0,0,70,zoom_in
33.201,4.1,700,11.160,0.329,0.754,226.318,5.230,0.837,581.0,23.2,594.0,597.0,597.0,0,76,zoom_in
34.198,5.0,779,14.806,3.562,0.751,181.283,4.588,0.294,507.0,14.4,506.0,523.0,523.0,0,62,zoom_in
35.332,6.2,1016,18.474,1.162,0.753,137.770,4.964,0.908,484.2,25.3,485.0,530.0,530.0,0,70,zoom_in
36.491,7.4,1709,18.568,1.585,0.749,113.299,5.521,1.437,473.2,27.0,471.0,528.0,528.0,0,72,look_around
37.501,8.1,1401,18.558,1.762,0.750,101.690,5.506,0.943,438.4,42.3,420.0,536.0,536.0,0,63,look_around
38.610,9.0,1385,14.368,1.696,0.750,93.254,4.660,1.431,403.7,13.9,402.0,422.0,422.0,0,68,look_around
