time_s,fps,kbps,server_ms,server_ms_std,compute_ms,render_ms,decode_ms,decode_ms_std,lat_mean_ms,lat_std_ms,lat_p50_ms,lat_p95_ms,lat_max_ms,lost,ctrl_events,phase
1.242,2.3,747,23.608,3.772,93.473,318.047,8.491,4.269,1048.0,92.0,1140.0,1140.0,1140.0,0,0,far
2.544,2.3,313,19.237,0.600,93.575,317.888,4.526,1.401,754.0,17.0,771.0,771.0,771.0,0,0,far
3.919,2.3,318,21.309,0.855,93.555,317.979,4.744,1.321,771.0,5.0,768.0,778.0,778.0,0,0,far
5.242,2.2,311,21.350,2.915,93.574,317.956,3.233,0.195,749.7,7.1,752.0,757.0,757.0,0,0,far
6.559,2.3,302,20.007,1.151,93.524,317.866,4.432,0.745,757.0,13.6,750.0,776.0,776.0,0,0,far
7.873,2.3,291,19.511,0.667,93.570,318.116,5.274,1.053,740.0,13.6,743.0,755.0,755.0,0,0,far
9.195,2.3,294,20.928,1.339,93.483,317.878,3.514,0.303,757.7,16.8,756.0,779.0,779.0,0,0,far
10.516,2.3,294,20.452,1.396,93.500,318.065,3.656,0.101,742.3,19.2,750.0,761.0,761.0,0,0,far
11.820,2.3,296,16.513,4.018,93.490,317.804,4.439,1.427,759.7,13.9,759.0,777.0,777.0,0,0,far
13.126,2.3,293,16.646,2.513,93.509,317.965,3.790,0.535,759.7,16.8,758.0,781.0,781.0,0,24,orbit
14.428,2.3,316,16.219,1.760,93.536,315.880,3.318,0.347,718.3,3.1,720.0,721.0,721.0,0,80,orbit
15.721,2.3,172,14.702,0.643,93.559,313.256,3.008,0.143,696.3,1.2,696.0,698.0,698.0,0,80,orbit
17.014,2.3,176,17.004,4.526,93.462,311.957,3.260,0.409,710.0,3.7,709.0,715.0,715.0,0,80,orbit
18.312,2.3,232,18.960,2.281,93.557,313.731,3.351,0.258,885.7,131.2,878.0,1050.0,1050.0,0,81,orbit
19.611,2.3,181,15.016,0.654,93.506,315.377,3.942,1.276,710.0,6.2,711.0,717.0,717.0,0,80,orbit
21.142,2.3,200,14.697,1.518,93.583,314.483,3.231,0.884,718.0,4.1,718.0,723.0,723.0,0,95,orbit
22.008,1.8,144,14.885,0.146,93.612,313.483,4.112,1.035,716.0,6.0,722.0,722.0,722.0,0,53,orbit
23.310,2.3,301,15.298,1.274,93.569,313.913,3.331,0.256,722.7,2.4,721.0,726.0,726.0,0,81,orbit
24.598,2.3,358,15.893,1.349,93.481,314.687,3.411,0.166,724.0,8.0,721.0,735.0,735.0,0,80,zoom_in
25.896,2.3,151,14.888,1.248,93.483,317.825,2.843,0.197,705.3,7.8,705.0,715.0,715.0,0,80,zoom_in
27.223,2.3,237,14.181,0.197,93.499,326.666,2.842,0.094,728.7,8.3,733.0,736.0,736.0,0,82,zoom_in
28.600,2.2,335,13.638,0.814,93.577,336.403,3.595,0.361,743.7,11.3,749.0,754.0,754.0,0,85,zoom_in
29.976,2.2,476,14.857,0.124,93.548,341.467,3.865,0.327,763.0,9.9,769.0,771.0,771.0,0,85,zoom_in
31.371,2.2,578,19.268,2.586,93.572,341.372,5.002,0.916,783.0,2.2,782.0,786.0,786.0,0,87,zoom_in
32.743,2.2,519,22.199,2.247,93.470,335.122,5.644,1.666,772.7,9.2,770.0,785.0,785.0,0,85,zoom_in
34.084,2.2,523,19.258,1.689,93.502,318.300,3.856,0.171,734.7,5.3,735.0,741.0,741.0,0,84,zoom_in
35.341,2.4,533,17.550,0.869,93.509,300.907,4.319,0.412,733.3,14.7,732.0,752.0,752.0,0,78,zoom_in
36.558,2.5,513,20.660,0.806,93.440,285.334,4.521,0.940,717.0,24.9,711.0,750.0,750.0,0,75,look_around
37.729,2.5,362,21.740,0.468,93.464,269.727,4.436,1.248,691.7,6.6,693.0,699.0,699.0,0,73,look_around
38.890,2.6,532,18.413,5.053,93.486,266.144,3.794,0.347,684.7,2.9,685.0,688.0,688.0,0,72,look_around
40.073,2.6,440,18.419,4.499,93.545,266.473,4.248,1.006,686.0,10.7,680.0,701.0,701.0,0,74,look_around
41.289,2.4,433,22.533,1.210,93.572,273.987,6.001,1.862,704.0,9.6,701.0,717.0,717.0,0,75,look_around
42.464,2.6,554,17.538,4.833,93.535,266.245,5.476,1.239,691.7,4.5,689.0,698.0,698.0,0,73,look_around
43.880,2.6,520,21.211,0.672,93.495,265.702,4.083,0.178,683.7,5.9,680.0,692.0,692.0,0,87,look_around
44.685,1.9,351,22.095,0.986,93.579,267.082,3.636,0.096,685.0,3.0,688.0,688.0,688.0,0,50,look_around
45.891,2.5,474,19.903,2.155,93.625,276.236,3.817,0.229,709.0,20.8,708.0,735.0,735.0,0,74,look_around
47.061,2.5,420,19.602,0.149,93.588,276.858,3.586,0.314,706.3,16.2,713.0,722.0,722.0,0,73,look_around
48.242,2.5,428,17.464,1.661,93.572,274.719,5.308,1.115,694.3,6.1,694.0,702.0,702.0,0,34,inside
49.653,2.5,308,17.197,4.759,93.462,279.748,4.232,0.778,723.3,5.2,727.0,727.0,727.0,0,0,inside
50.460,1.9,199,17.871,1.496,93.655,279.897,5.229,1.941,699.0,27.0,726.0,726.0,726.0,0,0,inside
51.666,2.5,261,17.355,3.545,93.625,279.751,3.650,0.293,706.0,17.9,697.0,731.0,731.0,0,0,inside
