time_s,fps,kbps,server_ms,server_ms_std,compute_ms,render_ms,decode_ms,decode_ms_std,lat_mean_ms,lat_std_ms,lat_p50_ms,lat_p95_ms,lat_max_ms,lost,ctrl_events,phase
0.818,40.2,5750,10.319,1.729,5.990,8.532,5.395,1.754,0.0,0.0,0.0,0.0,0.0,0,0,far
1.149,38.1,4935,11.006,4.251,5.994,8.423,4.297,1.223,595.2,180.7,606.0,874.0,874.0,0,0,far
2.142,38.5,5092,9.776,0.511,5.995,8.451,4.198,1.287,406.6,114.4,381.0,622.0,622.0,0,0,far
3.142,40.0,5475,9.851,0.551,5.995,8.445,4.571,0.914,293.8,14.5,289.0,335.0,335.0,0,0,far
4.164,40.3,5297,9.782,0.545,5.993,8.452,4.706,1.600,304.2,15.6,303.0,333.0,333.0,0,0,far
5.183,40.1,5552,9.831,0.472,5.995,8.440,4.647,1.031,319.6,39.1,309.0,424.0,424.0,0,0,far
6.194,40.6,5226,9.575,0.433,5.994,8.461,4.696,1.011,305.7,7.5,305.0,316.0,316.0,0,0,far
7.205,39.8,5347,9.984,0.706,5.996,8.485,5.246,1.434,302.3,11.0,302.0,326.0,326.0,0,0,far
8.224,40.0,5591,9.784,0.580,5.993,8.471,4.160,0.686,302.3,10.6,300.0,323.0,323.0,0,0,far
9.240,39.4,5022,10.237,0.651,5.997,8.487,4.575,0.906,298.9,11.0,300.0,317.0,317.0,0,0,far
10.247,39.7,5236,9.947,0.783,5.997,8.591,4.268,1.028,317.8,23.1,315.0,363.0,363.0,0,0,far
11.269,39.1,5463,10.257,0.810,6.002,8.534,4.519,0.982,303.8,11.2,301.0,332.0,332.0,0,0,far
12.280,38.9,5608,10.472,0.883,6.000,8.591,4.360,1.143,302.7,13.4,303.0,317.0,344.0,0,41,orbit
13.294,39.6,6582,9.981,0.620,5.995,8.420,4.634,1.048,305.3,14.3,303.0,347.0,347.0,0,63,orbit
14.302,40.0,5558,9.906,0.548,5.997,8.441,4.105,1.124,360.7,100.2,308.0,630.0,630.0,0,63,orbit
15.285,40.0,4958,9.961,0.519,5.997,8.411,4.534,0.960,296.2,8.2,296.0,314.0,316.0,0,61,orbit
16.302,39.4,4652,10.283,0.687,5.996,8.389,4.554,1.340,296.5,8.9,295.0,317.0,317.0,0,63,orbit
17.464,39.1,3916,10.438,0.692,5.996,8.393,4.448,0.968,295.1,7.1,295.0,307.0,313.0,0,72,orbit
18.337,33.7,3373,10.271,0.453,5.994,8.437,4.498,1.005,298.3,11.3,296.0,324.0,327.0,0,54,orbit
19.353,39.2,3616,10.206,0.479,5.995,8.618,4.245,1.317,296.3,8.4,296.0,312.0,320.0,0,63,orbit
20.417,38.8,3531,10.359,0.559,5.994,8.730,4.568,1.150,297.0,8.5,296.0,314.0,317.0,0,66,orbit
21.387,36.2,4430,10.333,0.557,5.995,8.859,4.714,1.524,297.7,9.0,297.0,322.0,324.0,0,60,orbit
22.387,38.6,5090,10.298,0.597,5.995,8.881,4.346,0.913,302.8,10.0,303.0,323.0,326.0,0,62,orbit
23.408,37.3,4838,11.238,3.975,5.997,8.847,4.864,1.210,300.2,11.5,300.0,329.0,340.0,0,64,zoom_in
24.411,38.8,4580,10.167,0.528,5.993,8.895,4.762,1.233,298.0,9.2,296.0,313.0,324.0,0,62,zoom_in
25.413,37.9,4384,10.473,0.544,5.997,9.271,4.557,0.650,298.6,11.8,296.0,318.0,343.0,0,62,zoom_in
26.436,37.2,3554,10.482,0.562,5.993,9.787,3.637,1.067,539.8,168.0,553.0,771.0,801.0,0,64,zoom_in
27.454,37.2,3174,10.047,0.499,5.996,10.179,4.127,1.176,312.0,34.0,300.0,398.0,410.0,0,63,zoom_in
28.531,36.0,2814,10.233,0.564,5.993,10.860,4.717,1.921,334.5,39.8,321.0,417.0,417.0,0,67,zoom_in
29.498,32.7,3297,10.542,0.555,5.994,11.785,6.032,1.044,307.3,13.0,303.0,336.0,341.0,0,61,zoom_in
30.519,32.1,4443,11.666,4.073,5.993,12.688,5.837,1.378,305.3,11.1,304.0,328.0,337.0,0,63,zoom_in
31.535,32.7,2533,10.675,0.552,5.996,13.170,4.399,0.999,299.7,10.1,300.0,312.0,334.0,0,63,zoom_in
32.563,31.8,3046,10.755,0.510,5.992,13.830,4.214,0.779,303.2,11.9,302.0,324.0,346.0,0,64,zoom_in
33.563,31.2,2547,10.668,0.523,5.992,14.627,4.427,0.886,303.7,12.6,301.0,338.0,343.0,0,62,zoom_in
34.575,30.0,3848,11.224,0.729,5.998,15.316,4.943,1.688,304.4,8.0,304.0,321.0,326.0,0,62,zoom_in
35.587,30.3,3358,10.966,0.473,5.995,14.906,4.559,0.888,302.8,9.0,302.0,320.0,323.0,0,63,look_around
36.686,29.8,4912,11.771,4.110,5.994,14.969,5.073,1.256,308.6,10.4,307.0,324.0,328.0,0,68,look_around
37.614,27.5,4487,10.930,0.756,5.997,15.313,6.023,1.263,312.0,11.4,312.0,334.0,341.0,0,58,look_around
38.630,30.4,4397,10.912,0.534,5.993,15.072,5.550,1.705,310.4,12.7,306.0,329.0,359.0,0,63,look_around
39.650,30.6,2567,10.791,0.601,5.994,15.089,4.774,1.226,306.5,12.5,302.0,330.0,352.0,0,63,look_around
40.659,30.9,4048,10.801,0.616,5.993,14.597,4.970,1.355,305.8,5.2,305.0,315.0,321.0,0,62,look_around
41.668,30.4,5430,12.060,3.548,5.998,13.893,5.194,1.127,304.2,9.1,304.0,320.0,333.0,0,63,look_around
42.678,31.7,5611,10.798,0.701,5.993,13.953,4.926,1.478,304.6,10.3,302.0,326.0,333.0,0,62,look_around
43.681,30.9,3138,10.501,0.483,5.998,14.964,4.482,0.884,312.8,23.6,306.0,365.0,396.0,0,62,look_around
44.707,30.2,3106,10.836,0.705,5.997,15.400,4.725,1.335,319.3,16.6,317.0,360.0,361.0,0,64,look_around
45.738,30.2,3384,11.274,2.261,5.996,14.985,4.432,0.722,317.9,9.7,318.0,334.0,344.0,0,63,look_around
46.754,30.4,4260,11.016,0.638,5.994,14.961,4.766,1.071,314.5,11.7,314.0,335.0,348.0,0,44,inside
47.772,30.7,2289,10.799,0.536,5.997,14.919,4.647,1.433,318.6,12.1,320.0,344.0,344.0,0,0,inside
48.766,30.9,2134,10.362,0.526,5.997,14.977,4.232,1.114,309.2,15.2,307.0,346.0,346.0,0,0,inside
49.799,30.1,2244,11.336,2.719,6.000,15.031,4.389,1.246,307.9,13.1,309.0,329.0,329.0,0,0,inside
50.811,30.6,4020,10.850,0.625,5.998,15.020,4.592,1.290,309.3,10.4,308.0,327.0,327.0,0,0,inside
51.828,30.6,4217,10.679,0.588,5.994,15.123,4.624,1.155,313.8,15.4,309.0,354.0,354.0,0,0,inside
52.847,30.3,3942,10.971,0.663,5.996,15.130,3.647,0.961,471.6,164.0,415.0,785.0,785.0,0,0,inside
53.872,30.4,4212,11.058,0.545,5.996,14.992,4.146,0.710,312.4,17.7,312.0,348.0,348.0,0,0,inside
54.886,30.5,4188,10.820,0.492,5.995,15.143,4.503,1.583,313.1,15.8,310.0,351.0,351.0,0,0,inside
56.014,30.6,4289,10.641,0.497,5.997,15.260,4.632,1.195,313.7,14.1,312.0,349.0,349.0,0,0,inside
56.920,27.6,3637,10.334,0.580,5.996,15.114,4.748,1.089,314.4,12.9,316.0,339.0,339.0,0,0,inside
57.920,30.8,4251,10.518,0.541,5.996,15.114,4.963,1.592,307.1,9.3,308.0,323.0,323.0,0,0,inside
