time_s,fps,kbps,server_ms,server_ms_std,compute_ms,render_ms,decode_ms,decode_ms_std,lat_mean_ms,lat_std_ms,lat_p50_ms,lat_p95_ms,lat_max_ms,lost,ctrl_events,phase
1.150,36.7,3544,9.750,1.794,5.990,11.464,4.814,1.575,1140.0,0.0,1140.0,1140.0,1140.0,0,0,far
1.423,31.7,3415,9.562,0.611,5.995,11.425,3.499,0.893,696.8,179.7,719.0,987.0,987.0,0,0,far
2.379,36.3,4222,9.351,0.548,5.996,11.421,3.766,0.941,315.2,21.2,308.0,387.0,387.0,0,0,far
3.390,36.5,4879,9.238,0.532,5.996,11.431,3.757,0.996,312.5,15.1,313.0,345.0,345.0,0,0,far
4.409,36.3,4348,9.326,0.487,5.998,11.432,3.347,0.809,302.8,13.0,303.0,337.0,337.0,0,0,far
5.418,35.7,4381,9.805,1.964,6.001,11.422,3.325,0.650,307.4,9.3,308.0,323.0,323.0,0,0,far
6.443,35.7,4984,9.791,0.669,6.000,11.451,3.750,0.913,307.5,12.6,304.0,338.0,338.0,0,0,far
7.461,35.7,4526,9.527,0.533,5.995,11.448,3.928,1.447,304.4,14.6,300.0,345.0,345.0,0,0,far
8.436,36.0,4470,9.602,0.579,5.993,11.431,3.469,0.738,311.6,11.4,314.0,340.0,340.0,0,0,far
9.455,36.2,5269,9.458,0.422,5.995,11.428,3.592,0.672,306.3,10.0,308.0,323.0,323.0,0,0,far
10.480,36.2,4712,9.510,0.519,5.997,11.424,3.335,1.143,367.9,100.0,312.0,603.0,603.0,0,0,far
11.518,35.8,4586,9.757,1.101,5.999,11.437,3.655,0.999,303.1,13.4,299.0,343.0,343.0,0,0,far
12.505,34.3,8919,10.131,0.943,5.996,11.514,3.493,0.592,326.6,12.9,329.0,343.0,349.0,0,55,orbit
13.538,35.3,10067,9.941,0.644,5.995,11.629,4.146,1.780,321.5,17.6,322.0,346.0,370.0,0,63,orbit
14.545,34.3,10888,10.469,1.185,5.995,11.926,4.551,1.095,315.9,11.0,315.0,343.0,346.0,0,63,orbit
15.545,34.0,9360,10.067,0.603,5.995,12.621,4.458,1.145,312.3,6.5,312.0,324.0,327.0,0,62,orbit
16.563,32.7,8065,10.404,0.640,5.994,13.349,3.965,1.021,322.0,12.5,323.0,345.0,347.0,0,63,orbit
17.576,32.4,7710,10.628,0.903,5.995,13.422,4.169,1.521,312.4,13.1,309.0,331.0,360.0,0,62,orbit
18.596,32.2,7175,10.956,0.768,5.997,13.239,3.674,0.766,313.2,12.8,309.0,337.0,337.0,0,63,orbit
19.624,33.1,6238,10.663,0.627,5.994,12.825,3.708,0.973,312.8,10.9,313.0,330.0,340.0,0,64,orbit
20.642,33.9,6064,10.575,0.626,5.999,12.191,3.958,0.781,311.8,10.2,312.0,332.0,342.0,0,63,orbit
22.057,34.4,5840,10.202,0.801,5.995,11.701,3.536,0.689,475.1,244.7,319.0,905.0,934.0,0,88,orbit
22.679,35.7,4070,9.765,0.619,5.993,11.520,2.941,0.682,337.2,106.0,312.0,687.0,687.0,0,38,orbit
23.681,35.1,6054,10.259,0.420,5.993,11.392,3.742,0.853,302.6,8.7,302.0,323.0,325.0,0,62,zoom_in
24.703,35.2,6158,10.352,0.613,5.995,11.332,3.889,1.043,302.1,6.9,301.0,315.0,316.0,0,64,zoom_in
25.707,34.8,7505,10.666,0.626,5.994,11.373,4.135,1.266,316.3,16.6,311.0,358.0,366.0,0,62,zoom_in
26.738,35.1,7760,10.393,0.594,5.997,11.389,3.777,0.453,314.4,19.5,309.0,357.0,360.0,0,64,zoom_in
27.746,34.7,8211,10.632,0.538,5.994,11.332,4.001,0.762,313.2,15.7,309.0,344.0,369.0,0,62,zoom_in
28.767,34.3,8835,11.187,1.079,5.999,11.140,4.262,0.844,311.7,8.2,312.0,331.0,334.0,0,63,zoom_in
29.777,34.9,9702,10.883,0.608,5.996,10.848,4.478,1.045,308.6,8.6,307.0,326.0,329.0,0,63,zoom_in
30.776,35.6,10595,10.952,0.678,5.994,10.424,4.764,1.439,307.1,12.8,304.0,328.0,355.0,0,61,zoom_in
31.800,36.3,9435,10.987,0.572,5.994,9.874,4.914,2.241,311.4,10.5,311.0,328.0,334.0,0,64,zoom_in
32.818,37.2,9801,10.962,0.559,5.993,9.135,4.583,0.989,313.5,9.8,313.0,338.0,342.0,0,63,zoom_in
34.306,38.5,9199,10.776,0.690,5.994,8.462,4.439,1.195,317.3,80.5,302.0,326.0,798.0,0,92,zoom_in
34.833,39.9,7345,10.482,0.475,5.993,7.840,3.599,0.832,496.4,145.4,509.0,730.0,742.0,0,33,zoom_in
35.835,39.9,12757,11.195,0.960,5.995,7.186,4.955,1.457,305.7,8.7,304.0,324.0,325.0,0,62,look_around
36.860,40.7,18463,11.277,0.681,5.995,6.573,5.274,1.296,312.6,10.8,311.0,333.0,335.0,0,64,look_around
37.863,40.3,19468,11.739,1.016,5.999,6.319,5.209,1.412,312.3,10.4,310.0,332.0,343.0,0,62,look_around
38.968,40.6,15405,11.291,0.790,5.998,6.596,4.398,0.802,316.5,12.2,315.0,338.0,352.0,0,69,look_around
39.879,36.7,10736,10.760,0.758,5.993,7.111,4.341,1.338,304.7,12.4,304.0,326.0,342.0,0,56,look_around
40.890,41.6,10966,10.622,0.562,5.994,6.755,4.381,1.358,318.4,11.9,316.0,334.0,357.0,0,63,look_around
41.898,42.4,11237,10.694,0.919,5.994,6.262,4.643,1.531,314.2,9.4,315.0,330.0,337.0,0,62,look_around
42.923,42.3,12387,10.650,0.669,5.994,6.419,4.033,0.932,311.2,11.8,309.0,336.0,344.0,0,64,look_around
43.925,40.6,12394,10.959,0.765,5.995,6.947,4.447,1.245,308.4,9.4,308.0,327.0,328.0,0,62,look_around
44.937,40.6,11085,10.721,0.780,5.995,7.237,3.987,0.782,306.3,10.7,305.0,327.0,330.0,0,62,look_around
45.948,40.5,9834,10.767,0.907,5.998,7.196,4.452,1.301,303.9,10.7,302.0,327.0,328.0,0,63,look_around
46.970,41.1,8070,10.535,0.890,5.997,7.090,3.685,1.102,305.0,12.3,303.0,327.0,342.0,0,34,inside
47.980,42.6,1616,9.635,0.617,5.997,7.206,3.102,0.841,300.6,13.4,297.0,326.0,326.0,0,0,inside
48.989,42.7,1755,9.586,0.935,5.996,7.205,3.011,0.555,296.2,12.9,295.0,326.0,326.0,0,0,inside
50.004,41.8,1266,10.007,0.675,5.999,7.262,2.796,0.497,295.8,10.1,295.0,321.0,321.0,0,0,inside
51.008,42.3,1226,9.588,0.728,5.998,7.224,2.893,0.671,297.9,14.1,295.0,337.0,337.0,0,0,inside
52.024,43.3,1674,9.249,0.710,5.995,7.212,3.071,0.854,299.2,14.3,296.0,339.0,339.0,0,0,inside
53.043,43.2,1211,9.379,0.587,5.998,7.210,2.850,0.768,299.1,9.8,301.0,319.0,319.0,0,0,inside
