time_s,fps,kbps,server_ms,server_ms_std,compute_ms,render_ms,decode_ms,decode_ms_std,lat_mean_ms,lat_std_ms,lat_p50_ms,lat_p95_ms,lat_max_ms,lost,ctrl_events,phase
1.444,22.7,3686,11.905,11.050,0.743,31.285,4.767,2.602,1150.0,7.0,1157.0,1157.0,1157.0,0,0,far
2.051,25.8,3352,10.336,4.696,0.750,26.667,3.261,0.613,362.5,77.3,337.0,565.0,565.0,0,0,far
3.065,28.6,3762,9.139,3.629,0.745,24.453,3.498,0.773,304.5,25.5,299.0,366.0,366.0,0,0,far
4.125,23.7,3137,10.342,4.211,0.754,30.397,3.517,0.528,315.1,31.0,309.0,387.0,387.0,0,0,far
5.137,26.6,3576,9.846,4.486,0.748,26.107,3.617,0.652,317.9,30.0,308.0,390.0,390.0,0,0,far
6.147,26.8,3436,9.267,4.096,0.744,26.495,4.476,1.469,304.2,13.8,303.0,327.0,327.0,0,0,far
7.229,23.9,3185,10.290,5.398,0.747,29.995,3.591,0.646,315.1,36.2,304.0,419.0,419.0,0,0,far
8.254,27.3,3738,9.185,3.640,0.746,25.927,4.777,1.560,349.0,45.3,338.0,430.0,430.0,0,0,far
9.371,25.7,3890,9.205,3.856,0.744,28.312,4.104,0.930,307.9,29.3,302.0,383.0,383.0,0,0,far
10.357,26.8,3118,8.703,3.487,0.743,26.200,3.619,0.698,298.6,10.5,298.0,317.0,317.0,0,0,far
11.385,27.2,3589,9.194,3.883,0.757,26.033,3.736,1.150,301.3,25.1,294.0,394.0,394.0,0,0,far
12.430,23.9,3254,9.869,3.719,0.746,30.204,3.645,0.464,307.6,24.6,299.0,367.0,367.0,0,0,far
13.461,26.7,3653,9.206,4.069,0.744,26.704,3.889,1.477,404.8,112.3,353.0,633.0,633.0,0,56,orbit
14.445,27.9,3545,8.979,3.359,0.745,25.067,3.427,0.779,311.5,31.2,303.0,401.0,401.0,0,61,orbit
15.463,24.5,2774,10.072,4.970,0.745,29.157,3.492,0.665,361.4,93.0,303.0,568.0,568.0,0,63,orbit
16.476,25.8,2543,9.139,4.155,0.746,27.895,3.618,0.849,313.3,24.5,306.0,372.0,372.0,0,63,orbit
17.490,26.3,2295,8.857,3.639,0.744,27.591,3.487,0.929,315.8,27.4,311.0,393.0,393.0,0,63,orbit
18.492,24.9,2114,9.427,4.218,0.746,29.127,3.789,0.756,311.4,27.1,305.0,381.0,401.0,0,62,orbit
19.572,24.1,2791,9.985,4.179,0.747,30.053,3.394,0.714,308.8,26.4,300.0,375.0,376.0,0,67,orbit
20.583,27.7,2996,9.020,3.222,0.746,25.567,3.448,0.562,308.3,28.7,302.0,384.0,408.0,0,62,orbit
21.597,26.7,3476,8.930,2.687,0.742,26.951,5.765,0.810,312.2,22.4,307.0,366.0,370.0,0,63,orbit
22.626,25.4,3204,8.863,2.276,0.744,28.839,4.395,1.273,329.9,51.6,313.0,491.0,491.0,0,64,orbit
23.626,27.9,3931,8.371,0.396,0.743,26.011,3.800,0.787,314.9,21.6,310.0,365.0,365.0,0,62,orbit
24.677,25.5,2763,8.272,0.502,0.745,29.421,3.655,0.749,355.2,41.1,337.0,428.0,428.0,0,65,zoom_in
25.783,26.8,2543,8.667,2.692,0.744,27.318,3.448,0.667,329.3,30.6,328.0,383.0,383.0,0,69,zoom_in
