time_s,fps,kbps,server_ms,server_ms_std,compute_ms,render_ms,decode_ms,decode_ms_std,lat_mean_ms,lat_std_ms,lat_p50_ms,lat_p95_ms,lat_max_ms,lost,ctrl_events,phase
0.713,39.7,5872,9.505,2.610,5.992,4.956,5.721,2.251,0.0,0.0,0.0,0.0,0.0,0,0,far
0.938,36.8,4769,10.244,4.742,6.001,4.764,3.711,0.862,655.9,127.2,658.0,840.0,840.0,0,0,far
1.846,39.1,5058,9.186,1.454,5.999,4.822,4.320,1.214,316.2,26.6,308.0,385.0,385.0,0,0,far
2.864,42.0,5939,7.631,0.365,5.994,4.807,4.512,1.237,307.6,13.9,305.0,345.0,345.0,0,0,far
3.866,41.8,5371,7.822,0.472,5.997,4.908,4.449,0.865,308.0,12.0,304.0,338.0,338.0,0,0,far
5.019,42.0,5879,7.849,0.514,5.998,4.817,4.739,1.256,302.9,8.1,304.0,320.0,320.0,0,0,far
5.892,35.6,4606,7.669,0.317,5.994,4.981,4.566,1.070,307.9,14.9,305.0,339.0,339.0,0,0,far
6.891,42.3,5391,7.584,0.385,5.993,4.878,4.386,1.128,305.6,14.2,301.0,334.0,334.0,0,0,far
7.893,42.0,5868,7.799,0.379,5.991,4.849,4.423,0.890,306.5,8.0,306.0,325.0,325.0,0,0,far
8.906,41.5,5340,8.067,0.779,5.993,4.915,4.440,0.804,307.2,14.1,306.0,338.0,338.0,0,0,far
9.906,41.9,5376,7.887,0.280,5.991,4.868,6.301,1.020,305.4,12.4,302.0,347.0,347.0,0,0,far
10.940,41.9,5934,7.857,0.349,5.989,4.938,3.904,1.501,508.4,181.7,487.0,824.0,824.0,0,0,far
11.919,41.8,5427,7.795,0.351,5.990,4.982,4.635,1.083,304.7,12.6,307.0,324.0,324.0,0,19,orbit
12.937,41.2,6270,8.344,0.688,5.991,4.749,5.069,1.430,307.1,9.5,307.0,322.0,337.0,0,64,orbit
13.958,41.1,5970,8.295,0.597,5.991,4.843,4.353,1.055,306.8,8.2,308.0,318.0,328.0,0,63,orbit
14.972,41.3,4395,8.127,0.467,5.993,4.932,4.728,1.228,303.9,8.3,304.0,317.0,322.0,0,63,orbit
16.060,41.4,3793,8.039,0.452,5.988,4.952,4.325,0.972,302.4,8.5,302.0,319.0,324.0,0,68,orbit
17.023,36.5,3388,9.729,4.795,5.995,5.088,4.440,1.579,302.1,10.5,302.0,320.0,336.0,0,60,orbit
18.019,36.6,3371,10.396,0.641,6.007,5.092,4.296,0.830,304.8,10.7,305.0,323.0,339.0,0,62,orbit
19.019,37.9,3509,10.283,0.515,6.001,4.837,4.089,0.979,303.5,6.2,303.0,314.0,315.0,0,62,orbit
20.011,37.9,4731,10.410,0.535,6.002,4.778,4.460,0.889,302.0,8.5,300.0,318.0,324.0,0,62,orbit
21.237,38.1,4872,10.386,0.603,6.002,4.711,3.807,0.784,436.2,179.4,313.0,787.0,805.0,0,76,orbit
22.171,38.2,4828,10.280,0.454,6.002,4.764,3.818,1.164,398.7,104.4,356.0,642.0,642.0,0,58,orbit
23.063,33.9,4918,10.312,0.515,6.002,4.757,4.321,1.179,381.0,105.6,313.0,597.0,626.0,0,55,orbit
24.070,37.7,3692,10.278,0.516,6.002,5.068,4.389,1.342,304.4,8.6,305.0,319.0,326.0,0,63,zoom_in
25.093,36.2,3923,10.891,0.548,6.005,5.526,4.150,1.020,303.2,11.1,302.0,321.0,350.0,0,64,zoom_in
26.117,35.5,3412,10.765,0.617,6.002,6.143,4.323,1.103,302.6,9.5,300.0,319.0,340.0,0,63,zoom_in
27.133,35.0,3213,10.543,0.610,6.001,6.817,4.857,1.170,306.0,11.3,304.0,333.0,336.0,0,63,zoom_in
28.124,32.9,3100,10.898,0.507,6.002,7.593,4.796,1.678,306.5,7.3,306.0,323.0,325.0,0,62,zoom_in
29.151,32.1,3768,11.302,0.597,6.002,8.557,4.969,1.477,308.9,11.4,309.0,331.0,338.0,0,64,zoom_in
30.168,31.2,3750,11.155,0.560,6.003,9.649,4.662,1.022,312.3,8.0,312.0,326.0,328.0,0,63,zoom_in
31.191,30.7,3395,11.133,1.923,6.000,10.158,4.828,1.076,311.8,10.6,311.0,338.0,340.0,0,64,zoom_in
32.203,30.5,3908,11.379,2.111,6.001,10.083,4.891,1.091,309.2,5.8,310.0,317.0,325.0,0,63,zoom_in
33.440,30.8,3762,11.155,0.693,6.003,9.924,5.131,1.276,310.0,7.4,311.0,325.0,327.0,0,76,zoom_in
34.212,29.6,3280,11.030,0.641,6.002,11.254,4.943,2.338,487.5,156.2,483.0,735.0,758.0,0,48,zoom_in
35.223,27.6,1974,11.086,0.637,6.003,13.765,4.443,0.860,312.7,9.3,311.0,332.0,334.0,0,63,look_around
36.255,27.2,1861,10.852,0.571,6.000,14.641,4.054,0.562,313.3,8.3,312.0,329.0,330.0,0,64,look_around
37.260,27.0,1192,10.788,1.424,6.011,14.898,4.479,1.159,311.3,11.9,311.0,330.0,350.0,0,62,look_around
38.275,26.8,2468,10.777,0.700,6.004,14.991,4.148,0.783,312.7,9.9,310.0,326.0,347.0,0,63,look_around
39.265,27.0,4681,11.116,0.641,6.000,14.537,5.088,1.595,318.3,13.3,314.0,348.0,357.0,0,62,look_around
40.266,26.9,3907,11.058,0.676,5.998,14.678,4.611,1.029,317.6,13.1,313.0,345.0,349.0,0,62,look_around
41.302,27.1,4195,10.996,0.662,5.998,14.545,5.580,1.220,315.3,8.3,316.0,333.0,336.0,0,64,look_around
42.302,26.9,3351,11.641,2.041,5.997,14.148,4.537,0.984,316.5,8.6,314.0,330.0,334.0,0,62,look_around
43.648,27.0,3836,11.013,0.559,6.001,14.617,4.960,1.448,331.6,58.9,321.0,367.0,628.0,0,83,look_around
44.373,22.3,2663,11.112,0.602,6.001,14.455,5.198,0.794,328.5,22.2,322.0,363.0,397.0,0,46,look_around
45.392,26.4,3708,11.879,1.779,6.009,14.615,4.709,0.889,309.9,9.2,308.0,327.0,336.0,0,63,look_around
46.404,26.7,4527,11.288,0.639,6.002,14.819,5.356,1.472,317.9,8.0,317.0,329.0,336.0,0,61,inside
47.440,26.6,3603,11.469,0.409,6.012,14.788,4.928,1.721,322.7,12.1,326.0,341.0,341.0,0,0,inside
48.432,26.9,2863,10.922,0.508,6.003,14.698,4.267,0.726,321.2,15.3,319.0,353.0,353.0,0,0,inside
49.470,27.4,3563,10.749,0.346,6.003,14.412,4.227,0.828,318.5,13.5,317.0,354.0,354.0,0,0,inside
50.469,27.4,3704,10.882,0.390,6.002,14.323,4.662,1.180,322.5,15.4,324.0,353.0,353.0,0,0,inside
51.505,27.1,3797,11.020,1.078,6.001,14.512,4.657,0.919,321.3,7.8,323.0,331.0,331.0,0,0,inside
52.752,27.3,3199,10.819,0.539,6.002,14.436,4.222,2.611,459.0,197.1,323.0,858.0,858.0,0,0,inside
53.568,26.8,4109,11.509,1.518,6.014,14.343,4.440,1.647,355.4,53.8,332.0,495.0,495.0,0,0,inside
54.708,27.4,3682,10.724,0.254,6.003,14.338,4.681,1.153,322.1,11.5,322.0,337.0,337.0,0,0,inside
55.588,23.3,3693,10.829,0.283,6.002,14.177,5.061,1.130,324.1,13.6,325.0,351.0,351.0,0,0,inside
56.646,26.9,4036,11.499,3.584,6.004,14.276,4.525,1.004,322.1,13.1,321.0,340.0,340.0,0,0,inside
57.664,26.3,3485,11.288,0.785,6.010,14.545,4.332,0.866,329.3,15.6,325.0,374.0,374.0,0,0,inside
