time_s,fps,kbps,server_ms,decode_ms,lat_mean_ms,lat_p50_ms,lat_p95_ms,lat_max_ms,lost,ctrl_events,phase
1.011,60.6,11092,2.357,7.994,36.7,37.0,46.0,46.0,0,0,idle
2.014,59.9,8014,2.306,9.331,36.0,34.0,51.0,51.0,0,0,idle
3.014,59.9,6748,2.320,8.767,35.2,33.0,48.0,48.0,0,0,idle
4.031,60.0,7932,2.307,8.810,32.9,32.0,46.0,46.0,0,0,idle
5.032,60.0,8077,2.354,8.857,34.6,34.0,45.0,45.0,0,0,idle
6.032,60.0,8359,2.307,8.932,37.1,35.0,44.0,47.0,0,10,orbit
7.030,60.0,7985,2.324,8.871,39.1,38.0,49.0,52.0,0,62,orbit
8.032,60.0,8512,2.308,8.473,38.7,39.0,49.0,49.0,0,63,orbit
9.032,60.0,7226,2.353,9.252,38.0,36.0,50.0,50.0,0,62,orbit
10.049,60.0,8456,2.309,8.168,38.7,38.0,47.0,49.0,0,63,orbit
11.063,60.0,7637,2.311,8.405,38.6,39.0,49.0,50.0,0,63,orbit
12.065,60.0,7976,2.310,8.175,39.1,39.0,49.0,66.0,0,62,orbit
13.065,60.0,7679,2.355,8.071,38.5,38.0,49.0,51.0,0,63,orbit
14.064,60.0,8561,2.314,8.842,38.4,37.0,48.0,50.0,0,62,orbit
15.065,60.0,7691,2.327,8.705,38.5,37.0,48.0,48.0,0,62,orbit
16.080,60.0,8673,2.316,7.857,39.4,40.0,49.0,51.0,0,63,orbit
17.097,60.0,7674,2.360,8.525,39.1,38.0,56.0,65.0,0,63,orbit
18.111,60.0,8497,2.315,8.786,38.7,39.0,48.0,50.0,0,63,orbit
19.127,60.0,8303,2.325,8.213,38.5,37.0,49.0,51.0,0,63,orbit
20.133,60.0,8618,2.314,8.918,38.8,39.0,48.0,50.0,0,63,orbit
21.147,60.0,9090,2.322,8.572,39.0,38.0,48.0,49.0,0,63,orbit
22.149,60.0,8538,2.346,9.105,40.1,40.0,52.0,55.0,0,62,orbit
23.164,60.0,8427,2.323,9.170,39.2,38.0,49.0,51.0,0,64,orbit
24.162,60.0,8429,2.311,8.983,40.4,38.0,51.0,56.0,0,62,orbit
25.182,60.0,7994,2.321,8.844,39.6,40.0,51.0,54.0,0,63,orbit
26.198,60.0,8551,2.344,9.634,40.0,41.0,49.0,52.0,0,63,orbit
27.198,60.0,7939,2.322,8.911,40.7,41.0,51.0,57.0,0,63,orbit
28.197,60.0,7815,2.312,8.626,37.9,37.0,49.0,50.0,0,62,orbit
29.199,60.0,7504,2.321,8.787,38.4,39.0,49.0,51.0,0,62,zoom_in
30.199,60.0,8362,2.347,9.750,38.9,39.0,49.0,49.0,0,62,zoom_in
31.196,60.0,7013,2.325,9.309,39.4,39.0,49.0,50.0,0,62,zoom_in
32.197,60.0,8827,2.310,8.270,40.0,40.0,49.0,50.0,0,63,zoom_in
33.196,60.0,7089,2.318,7.594,37.6,36.0,48.0,51.0,0,62,zoom_in
34.213,60.0,8561,2.352,8.306,39.1,39.0,49.0,58.0,0,63,zoom_in
35.215,60.0,7123,2.329,8.633,38.3,38.0,47.0,50.0,0,62,zoom_in
36.232,60.0,9290,2.336,9.254,39.8,41.0,49.0,56.0,0,63,zoom_in
37.232,60.0,6484,2.340,8.971,40.0,40.0,50.0,51.0,0,63,inside
38.246,60.0,7769,2.330,9.598,38.6,37.0,49.0,58.0,0,63,inside
39.247,60.0,8870,2.369,9.868,38.4,37.0,48.0,49.0,0,62,inside
40.246,60.0,9506,2.351,9.306,39.1,39.0,50.0,52.0,0,62,inside
41.245,60.0,6372,2.331,9.453,39.2,40.0,48.0,49.0,0,62,inside
42.249,60.0,9276,2.340,9.320,40.6,41.0,55.0,60.0,0,63,inside
43.249,60.0,7086,2.404,9.230,38.4,37.0,48.0,50.0,0,62,inside
44.260,60.0,8589,2.339,9.586,39.0,38.0,50.0,55.0,0,63,inside
45.249,60.0,7315,2.337,9.591,38.8,38.0,48.0,49.0,0,61,zoom_out
46.266,60.0,9190,2.337,9.296,39.2,40.0,49.0,54.0,0,63,zoom_out
47.283,60.0,6756,2.364,9.823,41.2,40.0,55.0,61.0,0,64,zoom_out
48.281,60.0,8583,2.324,9.177,39.1,38.0,48.0,51.0,0,62,zoom_out
49.299,60.0,6601,2.322,9.421,38.1,37.0,48.0,50.0,0,63,zoom_out
50.299,60.0,8050,2.319,9.698,39.8,40.0,50.0,59.0,0,62,zoom_out
51.317,60.0,7058,2.356,9.326,39.8,40.0,49.0,52.0,0,63,zoom_out
52.316,60.0,8315,2.314,9.390,39.4,40.0,49.0,52.0,0,54,idle
53.313,60.0,8590,2.314,9.446,34.3,33.0,46.0,46.0,0,0,idle
54.317,60.0,9589,2.311,9.557,34.5,34.0,45.0,45.0,0,0,idle
55.316,60.0,9585,2.322,9.604,33.4,33.0,44.0,44.0,0,0,idle
56.316,60.0,8649,2.346,9.661,34.0,33.0,46.0,46.0,0,0,idle
57.316,60.0,7858,2.319,9.392,34.1,34.0,42.0,42.0,0,0,idle
