time_s,fps,kbps,server_ms,server_ms_std,decode_ms,decode_ms_std,lat_mean_ms,lat_std_ms,lat_p50_ms,lat_p95_ms,lat_max_ms,lost,ctrl_events,phase
1.033,60.6,10556,2.248,0.198,6.268,2.931,166.3,78.7,133.0,389.0,389.0,0,0,far
2.124,59.9,8319,2.257,0.287,6.190,2.105,138.8,49.7,121.0,276.0,276.0,0,0,far
3.177,59.9,7163,2.222,0.011,5.817,1.814,144.8,70.1,119.0,350.0,350.0,0,0,far
4.135,60.0,8053,2.209,0.069,5.633,2.211,160.2,34.1,148.0,242.0,242.0,0,0,far
5.138,59.9,7836,2.221,0.009,5.970,2.968,269.5,75.7,281.0,413.0,413.0,0,0,far
6.107,60.0,8372,2.208,0.070,5.689,2.259,199.6,74.5,208.0,351.0,351.0,0,0,far
7.042,60.0,7932,2.221,0.012,6.829,1.936,112.2,18.3,107.0,166.0,166.0,0,0,far
8.046,60.0,8250,2.210,0.068,6.668,2.091,119.1,18.1,123.0,166.0,166.0,0,0,far
9.039,60.0,7804,2.207,0.013,6.428,1.961,125.8,23.2,123.0,191.0,191.0,0,0,far
10.053,60.0,8355,2.199,0.069,7.252,2.247,123.8,16.9,120.0,162.0,162.0,0,0,far
11.100,60.0,7711,2.206,0.010,7.074,1.787,115.0,17.7,115.0,173.0,173.0,0,0,far
12.081,60.0,8507,2.197,0.070,6.632,1.842,124.2,21.8,117.0,188.0,188.0,0,6,orbit
13.042,60.0,8024,2.210,0.019,6.694,2.136,119.4,13.1,117.0,143.0,156.0,0,60,orbit
14.086,60.0,8452,2.200,0.069,6.569,2.236,125.2,20.5,121.0,172.0,184.0,0,64,orbit
15.061,60.0,7902,2.210,0.019,6.380,2.380,122.3,20.1,119.0,174.0,185.0,0,61,orbit
16.060,60.0,7902,2.203,0.067,6.561,2.070,121.7,16.6,118.0,160.0,164.0,0,62,orbit
17.058,60.0,7996,2.217,0.012,6.600,2.026,122.0,21.3,116.0,171.0,197.0,0,62,orbit
18.078,60.0,8245,2.207,0.072,6.812,1.872,115.9,9.5,115.0,133.0,137.0,0,63,orbit
19.110,60.0,8531,2.213,0.009,6.674,2.174,120.7,15.0,119.0,155.0,156.0,0,64,orbit
20.105,60.0,8094,2.202,0.081,6.539,2.306,123.5,17.1,124.0,159.0,164.0,0,62,orbit
21.113,60.0,8021,2.210,0.014,6.687,2.576,117.3,12.5,117.0,140.0,144.0,0,63,orbit
22.099,60.0,7649,2.268,0.509,6.386,1.971,126.3,19.5,126.0,155.0,183.0,0,61,orbit
23.147,60.0,8824,2.216,0.012,6.220,2.352,132.3,32.2,122.0,209.0,221.0,0,65,orbit
24.126,60.0,9138,2.203,0.081,6.323,2.354,122.6,16.2,118.0,155.0,158.0,0,61,zoom_in
25.382,60.0,8551,2.211,0.011,5.443,2.530,205.8,74.5,182.0,390.0,390.0,0,78,zoom_in
26.156,60.0,9255,2.203,0.076,4.974,1.965,223.3,84.2,200.0,449.0,449.0,0,48,zoom_in
