time_s,fps,kbps,server_ms,decode_ms,lat_mean_ms,lat_p50_ms,lat_p95_ms,lat_max_ms,lost,ctrl_events,phase
1.027,60.6,11150,2.098,11.170,68.2,56.0,132.0,132.0,0,0,idle
2.034,59.9,7775,2.159,10.897,49.4,49.0,60.0,60.0,0,0,idle
3.031,59.9,6861,2.078,10.506,66.7,65.0,126.0,126.0,0,3,orbit
4.046,60.0,8131,2.072,11.268,73.1,71.0,97.0,106.0,0,63,orbit
5.034,60.0,7677,2.078,11.065,73.0,71.0,91.0,104.0,0,61,orbit
6.067,60.0,7918,2.072,10.545,70.2,64.0,131.0,132.0,0,65,orbit
7.040,60.0,7527,2.096,10.643,57.3,54.0,73.0,88.0,0,60,orbit
8.044,60.0,8181,2.214,10.293,55.7,55.0,74.0,100.0,0,62,orbit
9.038,60.0,9809,2.225,10.343,60.3,57.0,76.0,130.0,0,62,zoom_in
10.181,60.0,9205,2.224,11.701,70.9,65.0,140.0,182.0,0,71,zoom_in
11.214,60.0,7397,2.238,10.056,177.7,174.0,258.0,258.0,0,64,zoom_in
12.091,60.0,8893,2.274,10.369,71.0,57.0,200.0,202.0,0,55,inside
13.077,60.0,6618,2.292,11.433,55.0,54.0,73.0,83.0,0,61,inside
14.140,60.0,10111,2.385,12.753,60.2,59.0,71.0,135.0,0,66,inside
15.116,60.0,7147,2.336,11.265,55.1,55.0,71.0,77.0,0,60,zoom_out
16.127,60.0,8103,2.237,10.769,58.4,57.0,78.0,99.0,0,63,zoom_out
17.116,60.0,6367,2.227,11.169,54.3,54.0,69.0,76.0,0,62,zoom_out
18.134,60.0,7087,2.216,11.058,55.2,52.0,78.0,86.0,0,22,idle
19.151,60.0,8009,2.223,10.989,53.6,52.0,72.0,72.0,0,0,idle
