time_s,frame,fps,steps_s,kbps,encode_ms
4.830,61,60.6,60.6,11092,2.357
5.831,121,59.9,59.9,8014,2.306
6.833,181,59.9,59.9,6748,2.320
7.850,242,60.0,60.0,7932,2.307
8.850,302,60.0,60.0,8077,2.354
9.851,362,60.0,60.0,8359,2.307
10.851,422,60.0,60.0,7985,2.324
11.851,482,60.0,60.0,8512,2.308
12.851,542,60.0,60.0,7226,2.353
13.867,603,60.0,60.0,8456,2.309
14.884,664,60.0,60.0,7637,2.311
15.884,724,60.0,60.0,7976,2.310
16.884,784,60.0,60.0,7679,2.355
17.884,844,60.0,60.0,8561,2.314
18.884,904,60.0,60.0,7691,2.327
19.901,965,60.0,60.0,8673,2.316
20.917,1026,60.0,60.0,7674,2.360
21.934,1087,60.0,60.0,8497,2.315
22.951,1148,60.0,60.0,8303,2.325
23.951,1208,60.0,60.0,8618,2.314
24.967,1269,60.0,60.0,9090,2.322
25.967,1329,60.0,60.0,8538,2.346
26.984,1390,60.0,60.0,8427,2.323
27.984,1450,60.0,60.0,8429,2.311
29.001,1511,60.0,60.0,7994,2.321
30.017,1572,60.0,60.0,8551,2.344
31.017,1632,60.0,60.0,7939,2.322
32.017,1692,60.0,60.0,7815,2.312
33.017,1752,60.0,60.0,7504,2.321
34.017,1812,60.0,60.0,8362,2.347
35.017,1872,60.0,60.0,7013,2.325
36.017,1932,60.0,60.0,8827,2.310
37.017,1992,60.0,60.0,7089,2.318
38.034,2053,60.0,60.0,8561,2.352
39.034,2113,60.0,60.0,7123,2.329
40.051,2174,60.0,60.0,9290,2.336
41.051,2234,60.0,60.0,6484,2.340
42.067,2295,60.0,60.0,7769,2.330
43.067,2355,60.0,60.0,8870,2.369
44.067,2415,60.0,60.0,9506,2.351
45.068,2475,60.0,60.0,6372,2.331
46.068,2535,60.0,60.0,9276,2.340
47.068,2595,60.0,60.0,7086,2.404
48.068,2655,60.0,60.0,8589,2.339
49.068,2715,60.0,60.0,7315,2.337
50.084,2776,60.0,60.0,9190,2.337
51.101,2837,60.0,60.0,6756,2.364
52.101,2897,60.0,60.0,8583,2.324
53.118,2958,60.0,60.0,6601,2.322
54.118,3018,60.0,60.0,8050,2.319
55.134,3079,60.0,60.0,7058,2.356
56.134,3139,60.0,60.0,8315,2.314
57.135,3199,60.0,60.0,8590,2.314
58.135,3259,60.0,60.0,9589,2.311
59.135,3319,60.0,60.0,9585,2.322
60.135,3379,60.0,60.0,8649,2.346
61.135,3439,60.0,60.0,7858,2.319
