time_s,frame,fps,steps_s,kbps,encode_ms
2.948,61,60.6,60.6,10556,2.248
3.950,121,59.9,59.9,8319,2.257
4.951,181,59.9,59.9,7163,2.222
5.951,241,60.0,60.0,8053,2.209
6.952,301,59.9,59.9,7836,2.221
7.969,362,60.0,60.0,8372,2.208
8.969,422,60.0,60.0,7932,2.221
9.969,482,60.0,60.0,8250,2.210
10.969,542,60.0,60.0,7804,2.207
11.969,602,60.0,60.0,8355,2.199
12.969,662,60.0,60.0,7711,2.206
13.969,722,60.0,60.0,8507,2.197
14.969,782,60.0,60.0,8024,2.210
15.969,842,60.0,60.0,8452,2.200
16.986,903,60.0,60.0,7902,2.210
17.986,963,60.0,60.0,7902,2.203
18.986,1023,60.0,60.0,7996,2.217
20.003,1084,60.0,60.0,8245,2.207
21.003,1144,60.0,60.0,8531,2.213
22.019,1205,60.0,60.0,8094,2.202
23.036,1266,60.0,60.0,8021,2.210
24.036,1326,60.0,60.0,7649,2.268
25.053,1387,60.0,60.0,8824,2.216
26.053,1447,60.0,60.0,9138,2.203
27.053,1507,60.0,60.0,8551,2.211
28.053,1567,60.0,60.0,9255,2.203
29.069,1628,60.0,60.0,7630,2.210
30.086,1689,60.0,60.0,9098,2.205
31.103,1750,60.0,60.0,7213,2.211
32.103,1810,60.0,60.0,9065,2.207
33.103,1870,60.0,60.0,7473,2.209
34.103,1930,60.0,60.0,8838,2.213
35.119,1991,60.0,60.0,7484,2.214
36.119,2051,60.0,60.0,8515,2.217
37.120,2111,60.0,60.0,7194,2.310
38.120,2171,60.0,60.0,8861,2.456
39.136,2232,60.0,60.0,5127,2.373
40.136,2292,60.0,60.0,8406,2.363
41.136,2352,60.0,60.0,6168,2.407
42.153,2413,60.0,60.0,10143,2.411
43.170,2474,60.0,60.0,7291,2.275
44.186,2535,60.0,60.0,8920,2.248
45.186,2595,60.0,60.0,8013,2.259
46.187,2655,60.0,60.0,10071,2.395
47.187,2715,60.0,60.0,9189,2.419
48.203,2776,60.0,60.0,8212,2.407
49.203,2836,60.0,60.0,6112,2.417
50.203,2896,60.0,60.0,8818,2.438
51.203,2956,60.0,60.0,6557,2.434
52.203,3016,60.0,60.0,9331,2.432
53.203,3076,60.0,60.0,6736,2.426
54.220,3137,60.0,60.0,9120,2.430
55.220,3197,60.0,60.0,6735,2.412
56.237,3258,60.0,60.0,9106,2.416
57.237,3318,60.0,60.0,6818,2.406
58.237,3378,60.0,60.0,9379,2.424
59.237,3438,60.0,60.0,6741,2.426
60.237,3498,60.0,60.0,9284,2.437
